frame_name;actor_name;gender;top;right;bottom;left
TheWolfofWallStreet-100631.jpeg;Leonardo_DiCaprio-m;unknown;0;587;260;319
TheWolfofWallStreet-100778.jpeg;Leonardo_DiCaprio-m;unknown;43;662;266;439
TheWolfofWallStreet-111054.jpeg;Margot_Robbie;F;80;390;187;282
TheWolfofWallStreet-111537.jpeg;Leonardo_DiCaprio-m;unknown;81;459;236;304
TheWolfofWallStreet-112796.jpeg;Leonardo_DiCaprio-m;unknown;56;554;146;464
TheWolfofWallStreet-132804.jpeg;Leonardo_DiCaprio-m;unknown;80;342;187;235
TheWolfofWallStreet-144420.jpeg;Jonah_Hill;M;98;407;284;221
TheWolfofWallStreet-14471.jpeg;Matthew_McConaughey;M;64;614;219;459
TheWolfofWallStreet-150773.jpeg;Leonardo_DiCaprio-m;unknown;77;489;263;304
TheWolfofWallStreet-153575.jpeg;Leonardo_DiCaprio-m;unknown;98;631;253;476
TheWolfofWallStreet-154097.jpeg;Leonardo_DiCaprio-m;unknown;77;655;263;469
TheWolfofWallStreet-154439.jpeg;Leonardo_DiCaprio-m;unknown;77;634;263;448
TheWolfofWallStreet-154780.jpeg;Leonardo_DiCaprio-m;unknown;77;655;263;469
TheWolfofWallStreet-157426.jpeg;Jon_Bernthal;M;63;685;138;610
TheWolfofWallStreet-157956.jpeg;Jon_Bernthal;M;96;683;186;593
TheWolfofWallStreet-158323.jpeg;Jon_Bernthal;M;96;743;186;653
TheWolfofWallStreet-162575.jpeg;Jon_Bernthal;M;46;613;136;524
TheWolfofWallStreet-163592.jpeg;Jon_Bernthal;M;46;723;136;633
TheWolfofWallStreet-18341.jpeg;Matthew_McConaughey;M;67;655;196;526
TheWolfofWallStreet-18471.jpeg;Matthew_McConaughey;M;80;569;187;462
TheWolfofWallStreet-193829.jpeg;Leonardo_DiCaprio-m;unknown;53;526;182;397
TheWolfofWallStreet-222990.jpeg;Leonardo_DiCaprio-m;unknown;96;652;171;577
TheWolfofWallStreet-223971.jpeg;Leonardo_DiCaprio-m;unknown;80;306;187;199
TheWolfofWallStreet-237969.jpeg;Leonardo_DiCaprio-m;unknown;67;382;196;253
TheWolfofWallStreet-238845.jpeg;Leonardo_DiCaprio-m;unknown;80;378;187;270
TheWolfofWallStreet-27363.jpeg;Leonardo_DiCaprio-m;unknown;82;411;211;282
TheWolfofWallStreet-36883.jpeg;Leonardo_DiCaprio-m;unknown;92;354;199;247
TheWolfofWallStreet-42505.jpeg;Jon_Bernthal;M;81;631;236;476
TheWolfofWallStreet-42801.jpeg;Leonardo_DiCaprio-m;unknown;67;296;196;167
TheWolfofWallStreet-42937.jpeg;Leonardo_DiCaprio-m;unknown;80;402;187;294
TheWolfofWallStreet-46227.jpeg;Leonardo_DiCaprio-m;unknown;27;491;348;170
TheWolfofWallStreet-77592.jpeg;Leonardo_DiCaprio-m;unknown;47;511;202;356
TheWolfofWallStreet-83436.jpeg;Leonardo_DiCaprio-m;unknown;47;631;202;476
TheWolfofWallStreet-8462.jpeg;Leonardo_DiCaprio-m;unknown;81;597;236;442
TheWolfofWallStreet-8962.jpeg;Leonardo_DiCaprio-m;unknown;82;425;211;296
TheWolfofWallStreet-9175.jpeg;Matthew_McConaughey;M;81;339;236;184
TheWolfofWallStreet-9742.jpeg;Leonardo_DiCaprio-m;unknown;64;580;219;425
