frame_name;actor_name;gender;top;right;bottom;left
AmphitryonakaLesDieuxsamusentia-131927.jpeg;Adele_Sandrock;F;38;478;113;403
AmphitryonakaLesDieuxsamusentia-13238.jpeg;Hilde_Hildebrand;F;133;459;288;304
AmphitryonakaLesDieuxsamusentia-139157.jpeg;Willy_Fritsch;M;98;572;284;386
AmphitryonakaLesDieuxsamusentia-141920.jpeg;Willy_Fritsch;M;133;425;288;270
AmphitryonakaLesDieuxsamusentia-25041.jpeg;Hilde_Hildebrand;F;104;247;211;139
AmphitryonakaLesDieuxsamusentia-42860.jpeg;Willy_Fritsch;M;211;199;319;91
AmphitryonakaLesDieuxsamusentia-45428.jpeg;Hilde_Hildebrand;F;116;426;223;318
AmphitryonakaLesDieuxsamusentia-53279.jpeg;Willy_Fritsch;M;152;557;259;450
AmphitryonakaLesDieuxsamusentia-53519.jpeg;Willy_Fritsch;M;199;581;307;474
AmphitryonakaLesDieuxsamusentia-53913.jpeg;Willy_Fritsch;M;98;675;284;489
AmphitryonakaLesDieuxsamusentia-70351.jpeg;Hilde_Hildebrand;F;118;439;341;216
AmphitryonakaLesDieuxsamusentia-71692.jpeg;Hilde_Hildebrand;F;176;250;228;199
AmphitryonakaLesDieuxsamusentia-74056.jpeg;Hilde_Hildebrand;F;90;262;141;210
AmphitryonakaLesDieuxsamusentia-74287.jpeg;Hilde_Hildebrand;F;164;371;216;319
AmphitryonakaLesDieuxsamusentia-76346.jpeg;Hilde_Hildebrand;F;325;504;415;414
AmphitryonakaLesDieuxsamusentia-76826.jpeg;Willy_Fritsch;M;106;404;196;315
AmphitryonakaLesDieuxsamusentia-77692.jpeg;Hilde_Hildebrand;F;187;426;295;318
AmphitryonakaLesDieuxsamusentia-77872.jpeg;Hilde_Hildebrand;F;152;438;259;330
AmphitryonakaLesDieuxsamusentia-8594.jpeg;Hilde_Hildebrand;F;112;468;379;200
AmphitryonakaLesDieuxsamusentia-86815.jpeg;Willy_Fritsch;M;63;320;138;245
AmphitryonakaLesDieuxsamusentia-88700.jpeg;Willy_Fritsch;M;211;187;319;79
AmphitryonakaLesDieuxsamusentia-88940.jpeg;Willy_Fritsch;M;211;187;319;79
