frame_name;actor_name;gender;top;right;bottom;left
BelAmiia-101185.jpeg;Hilde_Hildebrand;F;426;619;488;557
BelAmiia-102382.jpeg;Hilde_Hildebrand;F;116;497;223;390
BelAmiia-102632.jpeg;Hilde_Hildebrand;F;106;544;196;454
BelAmiia-102753.jpeg;Hilde_Hildebrand;F;86;474;176;384
BelAmiia-103967.jpeg;Hilde_Hildebrand;F;106;514;196;424
BelAmiia-104217.jpeg;Willi_Forst;M;142;333;185;290
BelAmiia-105351.jpeg;Willi_Forst;M;82;569;211;440
BelAmiia-105601.jpeg;Olga_Tschechowa;F;350;409;386;373
BelAmiia-109338.jpeg;Willi_Forst;M;77;469;263;283
BelAmiia-110005.jpeg;Olga_Tschechowa;F;32;556;84;504
BelAmiia-110461.jpeg;Willi_Forst;M;113;245;188;171
BelAmiia-111106.jpeg;Willi_Forst;M;140;270;247;163
BelAmiia-111289.jpeg;Willi_Forst;M;128;270;235;163
BelAmiia-111749.jpeg;Willi_Forst;M;116;408;270;253
BelAmiia-111910.jpeg;Willi_Forst;M;153;383;205;331
BelAmiia-116036.jpeg;Hilde_Hildebrand;F;128;497;235;390
BelAmiia-123061.jpeg;Ilse_Werner;F;142;414;365;191
BelAmiia-123242.jpeg;Ilse_Werner;F;106;374;196;285
BelAmiia-123342.jpeg;Willi_Forst;M;68;402;175;294
BelAmiia-124015.jpeg;Willi_Forst;M;98;459;253;304
BelAmiia-124811.jpeg;Willi_Forst;M;160;448;345;262
BelAmiia-126775.jpeg;Willi_Forst;M;118;464;341;241
BelAmiia-130014.jpeg;Willi_Forst;M;171;444;246;370
BelAmiia-130264.jpeg;Willi_Forst;M;116;425;270;270
BelAmiia-130626.jpeg;Willi_Forst;M;81;442;236;287
BelAmiia-131177.jpeg;Willi_Forst;M;116;390;223;282
BelAmiia-13208.jpeg;Willi_Forst;M;38;403;113;328
BelAmiia-132129.jpeg;Willi_Forst;M;82;325;211;196
BelAmiia-136867.jpeg;Hilde_Hildebrand;F;70;309;113;266
BelAmiia-19488.jpeg;Willi_Forst;M;175;497;283;390
BelAmiia-25205.jpeg;Johannes_Riemann;M;25;467;87;405
BelAmiia-26957.jpeg;Willi_Forst;M;140;426;247;318
BelAmiia-26957.jpeg;Hilde_Hildebrand;F;255;275;345;185
BelAmiia-27313.jpeg;Olga_Tschechowa;F;187;366;295;259
BelAmiia-27998.jpeg;Hilde_Hildebrand;F;230;561;266;525
BelAmiia-28346.jpeg;Hilde_Hildebrand;F;196;135;285;46
BelAmiia-28959.jpeg;Willi_Forst;M;159;423;211;371
BelAmiia-30532.jpeg;Olga_Tschechowa;F;126;315;216;225
BelAmiia-30782.jpeg;Olga_Tschechowa;F;136;344;226;255
BelAmiia-32899.jpeg;Willi_Forst;M;80;602;155;527
BelAmiia-35613.jpeg;Willi_Forst;M;104;426;211;318
BelAmiia-38555.jpeg;Hilde_Hildebrand;F;88;494;163;419
BelAmiia-40346.jpeg;Hilde_Hildebrand;F;128;569;235;462
BelAmiia-41869.jpeg;Olga_Tschechowa;F;121;262;196;187
BelAmiia-42931.jpeg;Olga_Tschechowa;F;96;374;186;285
BelAmiia-43847.jpeg;Olga_Tschechowa;F;72;278;146;204
BelAmiia-4410.jpeg;Willi_Forst;M;44;438;152;330
BelAmiia-44711.jpeg;Olga_Tschechowa;F;96;374;186;285
BelAmiia-46194.jpeg;Willi_Forst;M;116;424;206;335
BelAmiia-47620.jpeg;Olga_Tschechowa;F;80;390;187;282
BelAmiia-50178.jpeg;Willi_Forst;M;55;285;107;233
BelAmiia-51277.jpeg;Olga_Tschechowa;F;135;508;198;446
BelAmiia-51573.jpeg;Olga_Tschechowa;F;86;554;176;464
BelAmiia-62422.jpeg;Olga_Tschechowa;F;204;519;279;444
BelAmiia-64363.jpeg;Olga_Tschechowa;F;152;438;259;330
BelAmiia-65297.jpeg;Olga_Tschechowa;F;254;486;329;411
BelAmiia-66441.jpeg;Olga_Tschechowa;F;115;322;177;259
BelAmiia-66806.jpeg;Willi_Forst;M;103;357;146;314
BelAmiia-67388.jpeg;Willi_Forst;M;96;305;186;215
BelAmiia-67492.jpeg;Olga_Tschechowa;F;136;444;226;354
BelAmiia-67767.jpeg;Olga_Tschechowa;F;142;522;205;460
BelAmiia-68046.jpeg;Olga_Tschechowa;F;177;563;239;501
BelAmiia-68612.jpeg;Willi_Forst;M;116;306;223;199
BelAmiia-69607.jpeg;Willi_Forst;M;116;255;206;165
BelAmiia-70096.jpeg;Olga_Tschechowa;F;126;563;216;474
BelAmiia-70346.jpeg;Olga_Tschechowa;F;140;474;247;366
BelAmiia-71086.jpeg;Olga_Tschechowa;F;116;366;223;259
BelAmiia-71281.jpeg;Willi_Forst;M;104;438;211;330
BelAmiia-71368.jpeg;Olga_Tschechowa;F;110;382;239;253
BelAmiia-73506.jpeg;Willi_Forst;M;92;378;199;270
BelAmiia-75508.jpeg;Hilde_Hildebrand;F;166;593;255;504
BelAmiia-75758.jpeg;Hilde_Hildebrand;F;204;569;279;494
BelAmiia-76258.jpeg;Hilde_Hildebrand;F;204;552;279;478
BelAmiia-87691.jpeg;Willi_Forst;M;184;390;339;236
BelAmiia-87893.jpeg;Willi_Forst;M;184;390;339;236
BelAmiia-88110.jpeg;Willi_Forst;M;202;390;356;236
BelAmiia-93926.jpeg;Willi_Forst;M;138;312;213;237
BelAmiia-95150.jpeg;Willi_Forst;M;67;397;196;268
BelAmiia-97992.jpeg;Willi_Forst;M;104;342;211;235
BelAmiia-98339.jpeg;Willi_Forst;M;56;434;146;344
BelAmiia-98589.jpeg;Willi_Forst;M;66;464;156;374
BelAmiia-98856.jpeg;Willi_Forst;M;86;484;176;394
