frame_name;actor_name;gender;top;right;bottom;left
DerMannderSherlockHolmeswar-100666.jpeg;Hans_Albers;M;118;397;154;361
DerMannderSherlockHolmeswar-102230.jpeg;Hans_Albers;M;101;570;163;508
DerMannderSherlockHolmeswar-103427.jpeg;Hansi_Knoteck;F;149;266;211;204
DerMannderSherlockHolmeswar-103558.jpeg;Hansi_Knoteck;F;156;259;218;197
DerMannderSherlockHolmeswar-104042.jpeg;Marieluise_Claudius;F;86;315;176;225
DerMannderSherlockHolmeswar-105087.jpeg;Hans_Albers;M;66;308;129;246
DerMannderSherlockHolmeswar-106087.jpeg;Hans_Albers;M;46;444;136;354
DerMannderSherlockHolmeswar-106962.jpeg;Hansi_Knoteck;F;80;461;155;386
DerMannderSherlockHolmeswar-107422.jpeg;Hans_Albers;M;96;554;186;464
DerMannderSherlockHolmeswar-107483.jpeg;Marieluise_Claudius;F;96;162;171;88
DerMannderSherlockHolmeswar-107483.jpeg;Hansi_Knoteck;F;116;424;206;335
DerMannderSherlockHolmeswar-107545.jpeg;Hans_Albers;M;106;504;196;414
DerMannderSherlockHolmeswar-107589.jpeg;Marieluise_Claudius;F;96;175;186;86
DerMannderSherlockHolmeswar-107589.jpeg;Hansi_Knoteck;F;96;464;186;374
DerMannderSherlockHolmeswar-107981.jpeg;Hansi_Knoteck;F;136;404;226;315
DerMannderSherlockHolmeswar-108227.jpeg;Hans_Albers;M;126;554;216;464
DerMannderSherlockHolmeswar-108477.jpeg;Hans_Albers;M;125;483;254;354
DerMannderSherlockHolmeswar-108896.jpeg;Marieluise_Claudius;F;56;195;146;106
DerMannderSherlockHolmeswar-109148.jpeg;Marieluise_Claudius;F;76;205;166;116
DerMannderSherlockHolmeswar-109148.jpeg;Hansi_Knoteck;F;128;462;235;354
DerMannderSherlockHolmeswar-109219.jpeg;Hans_Albers;M;96;354;225;225
DerMannderSherlockHolmeswar-110354.jpeg;Hansi_Knoteck;F;151;170;194;127
DerMannderSherlockHolmeswar-110854.jpeg;Hansi_Knoteck;F;86;401;122;365
DerMannderSherlockHolmeswar-110889.jpeg;Hans_Albers;M;68;485;175;378
DerMannderSherlockHolmeswar-111139.jpeg;Hans_Albers;M;68;497;175;390
DerMannderSherlockHolmeswar-111203.jpeg;Marieluise_Claudius;F;146;374;236;285
DerMannderSherlockHolmeswar-112828.jpeg;Hansi_Knoteck;F;128;402;235;294
DerMannderSherlockHolmeswar-113910.jpeg;Hans_Albers;M;104;175;211;67
DerMannderSherlockHolmeswar-114332.jpeg;Hansi_Knoteck;F;66;411;129;349
DerMannderSherlockHolmeswar-114332.jpeg;Hilde_Weissner;F;59;252;122;190
DerMannderSherlockHolmeswar-114417.jpeg;Hans_Albers;M;116;151;223;44
DerMannderSherlockHolmeswar-114667.jpeg;Hans_Albers;M;153;210;282;81
