frame_name;actor_name;gender;top;right;bottom;left
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-102303.jpeg;Ralph_Arthur_Roberts;M;279;511;354;436
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-102553.jpeg;Ralph_Arthur_Roberts;M;96;540;225;411
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-102553.jpeg;Charlotte_Schellhorn;F;96;268;225;139
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-102843.jpeg;Hilde_Weissner;F;150;339;305;184
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-102911.jpeg;Ralph_Arthur_Roberts;M;133;442;288;287
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-103161.jpeg;Ralph_Arthur_Roberts;M;133;390;288;236
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-103411.jpeg;Ralph_Arthur_Roberts;M;133;390;288;236
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-103531.jpeg;Ralph_Arthur_Roberts;M;124;360;176;308
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-105320.jpeg;Ralph_Arthur_Roberts;M;66;185;156;96
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-10692.jpeg;Ralph_Arthur_Roberts;M;57;510;242;324
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-108869.jpeg;Will_Quadflieg;M;63;395;138;320
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-111979.jpeg;Will_Quadflieg;M;50;223;94;180
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-117787.jpeg;Ralph_Arthur_Roberts;M;32;378;140;270
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-117955.jpeg;Ralph_Arthur_Roberts;M;47;390;202;236
DerMaulkorbRalphArthurRobertsPaulHenckelsHildeWeissnerTheodorLoos-118365.jpeg;Ralph_Arthur_Roberts;M;81;390;236;236
