frame_name;actor_name;gender;top;right;bottom;left
DieFeuerzangenbowleDeutscheFilmehdia-100653.jpeg;Hilde_Sessak;F;202;494;356;339
DieFeuerzangenbowleDeutscheFilmehdia-101217.jpeg;Hilde_Sessak;F;150;494;305;339
DieFeuerzangenbowleDeutscheFilmehdia-103999.jpeg;Erich_Ponto;M;196;726;325;597
DieFeuerzangenbowleDeutscheFilmehdia-104383.jpeg;Hans_Leibelt;M;277;633;598;312
DieFeuerzangenbowleDeutscheFilmehdia-104511.jpeg;Hans_Leibelt;M;231;617;498;349
DieFeuerzangenbowleDeutscheFilmehdia-104736.jpeg;Hans_Leibelt;M;116;666;270;511
DieFeuerzangenbowleDeutscheFilmehdia-104906.jpeg;Erich_Ponto;M;383;239;512;110
DieFeuerzangenbowleDeutscheFilmehdia-105759.jpeg;Erich_Ponto;M;245;404;335;315
DieFeuerzangenbowleDeutscheFilmehdia-106251.jpeg;Erich_Ponto;M;287;560;362;486
DieFeuerzangenbowleDeutscheFilmehdia-106382.jpeg;Erich_Ponto;M;296;552;370;478
DieFeuerzangenbowleDeutscheFilmehdia-107151.jpeg;Erich_Ponto;M;175;605;283;497
DieFeuerzangenbowleDeutscheFilmehdia-107403.jpeg;Erich_Ponto;M;142;706;409;438
DieFeuerzangenbowleDeutscheFilmehdia-107791.jpeg;Erich_Ponto;M;222;386;407;201
DieFeuerzangenbowleDeutscheFilmehdia-107919.jpeg;Erich_Ponto;M;219;356;374;201
DieFeuerzangenbowleDeutscheFilmehdia-108175.jpeg;Erich_Ponto;M;184;356;339;201
DieFeuerzangenbowleDeutscheFilmehdia-108431.jpeg;Erich_Ponto;M;160;366;345;180
DieFeuerzangenbowleDeutscheFilmehdia-112783.jpeg;Erich_Ponto;M;153;526;282;397
DieFeuerzangenbowleDeutscheFilmehdia-113935.jpeg;Karin_Himboldt;F;235;426;343;318
DieFeuerzangenbowleDeutscheFilmehdia-114703.jpeg;Karin_Himboldt;F;175;414;283;306
DieFeuerzangenbowleDeutscheFilmehdia-115801.jpeg;Karin_Himboldt;F;242;439;464;216
DieFeuerzangenbowleDeutscheFilmehdia-116137.jpeg;Karin_Himboldt;F;260;527;528;260
DieFeuerzangenbowleDeutscheFilmehdia-116463.jpeg;Karin_Himboldt;F;291;489;514;266
DieFeuerzangenbowleDeutscheFilmehdia-122566.jpeg;Hilde_Sessak;F;128;91;235;0
DieFeuerzangenbowleDeutscheFilmehdia-122609.jpeg;Karin_Himboldt;F;146;583;236;494
DieFeuerzangenbowleDeutscheFilmehdia-122609.jpeg;Karin_Himboldt;F;163;378;271;270
DieFeuerzangenbowleDeutscheFilmehdia-125147.jpeg;Hilde_Sessak;F;334;365;370;329
DieFeuerzangenbowleDeutscheFilmehdia-125663.jpeg;Karin_Himboldt;F;184;476;339;322
DieFeuerzangenbowleDeutscheFilmehdia-125663.jpeg;Karin_Himboldt;F;128;270;235;163
DieFeuerzangenbowleDeutscheFilmehdia-131551.jpeg;Karin_Himboldt;F;266;613;489;390
DieFeuerzangenbowleDeutscheFilmehdia-131679.jpeg;Karin_Himboldt;F;291;613;514;390
DieFeuerzangenbowleDeutscheFilmehdia-132319.jpeg;Hans_Leibelt;M;125;167;254;38
DieFeuerzangenbowleDeutscheFilmehdia-133215.jpeg;Hilde_Sessak;F;251;602;303;550
DieFeuerzangenbowleDeutscheFilmehdia-135983.jpeg;Hilde_Sessak;F;342;309;378;273
DieFeuerzangenbowleDeutscheFilmehdia-136111.jpeg;Hilde_Sessak;F;386;410;430;367
DieFeuerzangenbowleDeutscheFilmehdia-136432.jpeg;Karin_Himboldt;F;236;563;325;474
DieFeuerzangenbowleDeutscheFilmehdia-136607.jpeg;Karin_Himboldt;F;211;545;319;438
DieFeuerzangenbowleDeutscheFilmehdia-136991.jpeg;Karin_Himboldt;F;211;474;319;366
DieFeuerzangenbowleDeutscheFilmehdia-137439.jpeg;Erich_Ponto;M;268;483;397;354
DieFeuerzangenbowleDeutscheFilmehdia-137613.jpeg;Erich_Ponto;M;271;462;378;354
DieFeuerzangenbowleDeutscheFilmehdia-137613.jpeg;Hans_Leibelt;M;239;626;368;497
DieFeuerzangenbowleDeutscheFilmehdia-18311.jpeg;Erich_Ponto;M;116;597;270;442
DieFeuerzangenbowleDeutscheFilmehdia-18479.jpeg;Erich_Ponto;M;77;572;263;386
DieFeuerzangenbowleDeutscheFilmehdia-21314.jpeg;Erich_Ponto;M;247;545;355;438
DieFeuerzangenbowleDeutscheFilmehdia-28095.jpeg;Hilde_Sessak;F;236;648;391;494
DieFeuerzangenbowleDeutscheFilmehdia-28225.jpeg;Hilde_Sessak;F;236;648;391;494
DieFeuerzangenbowleDeutscheFilmehdia-29631.jpeg;Hilde_Sessak;F;139;448;325;262
DieFeuerzangenbowleDeutscheFilmehdia-33279.jpeg;Paul_Henckels;M;128;629;235;521
DieFeuerzangenbowleDeutscheFilmehdia-49423.jpeg;Erich_Ponto;M;155;627;229;552
DieFeuerzangenbowleDeutscheFilmehdia-49679.jpeg;Erich_Ponto;M;167;631;322;476
DieFeuerzangenbowleDeutscheFilmehdia-50180.jpeg;Erich_Ponto;M;199;474;307;366
