frame_name;actor_name;gender;top;right;bottom;left
DieGrosseLiebe-102535.jpeg;Grethe_Weiser;F;191;301;253;239
DieGrosseLiebe-102660.jpeg;Grethe_Weiser;F;205;280;267;218
DieGrosseLiebe-102785.jpeg;Hans_Schwarz;M;55;444;130;370
DieGrosseLiebe-10357.jpeg;Zarah_Leander;F;150;442;305;287
DieGrosseLiebe-10382.jpeg;Zarah_Leander;F;133;442;288;287
DieGrosseLiebe-103951.jpeg;Zarah_Leander;F;96;497;225;368
DieGrosseLiebe-10407.jpeg;Zarah_Leander;F;150;425;305;270
DieGrosseLiebe-104324.jpeg;Zarah_Leander;F;116;426;223;318
DieGrosseLiebe-104474.jpeg;Viktor_Staal;M;80;411;155;337
DieGrosseLiebe-104574.jpeg;Viktor_Staal;M;66;285;156;195
DieGrosseLiebe-104699.jpeg;Viktor_Staal;M;56;364;146;275
DieGrosseLiebe-104824.jpeg;Zarah_Leander;F;113;395;188;320
DieGrosseLiebe-104949.jpeg;Viktor_Staal;M;76;344;166;255
DieGrosseLiebe-104949.jpeg;Zarah_Leander;F;105;403;179;328
DieGrosseLiebe-105592.jpeg;Zarah_Leander;F;118;448;304;262
DieGrosseLiebe-105742.jpeg;Viktor_Staal;M;116;459;270;304
DieGrosseLiebe-106635.jpeg;Viktor_Staal;M;86;484;176;394
DieGrosseLiebe-107135.jpeg;Viktor_Staal;M;116;545;223;438
DieGrosseLiebe-108156.jpeg;Viktor_Staal;M;94;225;130;189
DieGrosseLiebe-108428.jpeg;Zarah_Leander;F;92;438;199;330
DieGrosseLiebe-108528.jpeg;Zarah_Leander;F;116;438;223;330
DieGrosseLiebe-108800.jpeg;Zarah_Leander;F;116;438;223;330
DieGrosseLiebe-108945.jpeg;Viktor_Staal;M;24;325;153;196
DieGrosseLiebe-109044.jpeg;Viktor_Staal;M;92;450;199;342
DieGrosseLiebe-109189.jpeg;Zarah_Leander;F;168;368;297;239
DieGrosseLiebe-109314.jpeg;Zarah_Leander;F;153;368;282;239
DieGrosseLiebe-109439.jpeg;Viktor_Staal;M;139;526;268;397
DieGrosseLiebe-109439.jpeg;Zarah_Leander;F;182;382;311;253
DieGrosseLiebe-109557.jpeg;Viktor_Staal;M;98;442;253;287
DieGrosseLiebe-109807.jpeg;Zarah_Leander;F;163;438;271;330
DieGrosseLiebe-110201.jpeg;Zarah_Leander;F;110;440;239;311
DieGrosseLiebe-110294.jpeg;Viktor_Staal;M;125;454;254;325
DieGrosseLiebe-110557.jpeg;Zarah_Leander;F;110;454;239;325
DieGrosseLiebe-110707.jpeg;Zarah_Leander;F;125;454;254;325
DieGrosseLiebe-110807.jpeg;Zarah_Leander;F;125;468;254;339
DieGrosseLiebe-111060.jpeg;Viktor_Staal;M;82;497;211;368
DieGrosseLiebe-111185.jpeg;Zarah_Leander;F;163;617;271;509
DieGrosseLiebe-111310.jpeg;Zarah_Leander;F;140;521;247;414
DieGrosseLiebe-111460.jpeg;Zarah_Leander;F;96;411;225;282
DieGrosseLiebe-117088.jpeg;Zarah_Leander;F;116;425;270;270
DieGrosseLiebe-117213.jpeg;Zarah_Leander;F;116;425;270;270
DieGrosseLiebe-119001.jpeg;Zarah_Leander;F;213;229;287;154
DieGrosseLiebe-119626.jpeg;Grethe_Weiser;F;38;458;90;406
DieGrosseLiebe-119876.jpeg;Zarah_Leander;F;221;502;296;428
DieGrosseLiebe-119876.jpeg;Grethe_Weiser;F;72;303;146;229
