frame_name;actor_name;gender;top;right;bottom;left
FrauensinddochbessereDiplomaten-102080.jpeg;Hans_Leibelt;M;152;629;259;521
FrauensinddochbessereDiplomaten-105108.jpeg;Willy_Fritsch;M;167;687;390;464
FrauensinddochbessereDiplomaten-105379.jpeg;Willy_Fritsch;M;167;662;390;439
FrauensinddochbessereDiplomaten-105592.jpeg;Willy_Fritsch;M;142;662;365;439
FrauensinddochbessereDiplomaten-105600.jpeg;Willy_Fritsch;M;142;662;365;439
FrauensinddochbessereDiplomaten-114595.jpeg;Carl_Kuhlmann;M;150;425;305;270
FrauensinddochbessereDiplomaten-121336.jpeg;Willy_Fritsch;M;142;613;365;390
FrauensinddochbessereDiplomaten-124964.jpeg;Ursula_Herking;F;139;497;268;368
FrauensinddochbessereDiplomaten-125440.jpeg;Ursula_Herking;F;152;474;259;366
FrauensinddochbessereDiplomaten-126240.jpeg;Willy_Fritsch;M;96;655;225;526
FrauensinddochbessereDiplomaten-126880.jpeg;Willy_Fritsch;M;125;411;254;282
FrauensinddochbessereDiplomaten-127040.jpeg;Willy_Fritsch;M;96;511;225;382
FrauensinddochbessereDiplomaten-135680.jpeg;Willy_Fritsch;M;146;345;221;270
FrauensinddochbessereDiplomaten-137280.jpeg;Ursula_Herking;F;125;855;254;726
FrauensinddochbessereDiplomaten-143200.jpeg;Ursula_Herking;F;92;366;199;259
FrauensinddochbessereDiplomaten-17920.jpeg;Willy_Fritsch;M;125;339;254;210
FrauensinddochbessereDiplomaten-18217.jpeg;Willy_Fritsch;M;140;497;247;390
FrauensinddochbessereDiplomaten-22572.jpeg;Willy_Fritsch;M;98;613;284;428
FrauensinddochbessereDiplomaten-26677.jpeg;Willy_Fritsch;M;167;588;390;365
FrauensinddochbessereDiplomaten-28960.jpeg;Willy_Fritsch;M;82;669;211;540
FrauensinddochbessereDiplomaten-29844.jpeg;Willy_Fritsch;M;142;588;365;365
FrauensinddochbessereDiplomaten-30090.jpeg;Willy_Fritsch;M;142;563;365;340
FrauensinddochbessereDiplomaten-32093.jpeg;Willy_Fritsch;M;133;562;288;408
FrauensinddochbessereDiplomaten-35760.jpeg;Carl_Kuhlmann;M;184;597;339;442
FrauensinddochbessereDiplomaten-35840.jpeg;Carl_Kuhlmann;M;202;597;356;442
FrauensinddochbessereDiplomaten-36055.jpeg;Carl_Kuhlmann;M;202;597;356;442
FrauensinddochbessereDiplomaten-36196.jpeg;Carl_Kuhlmann;M;202;597;356;442
FrauensinddochbessereDiplomaten-36539.jpeg;Carl_Kuhlmann;M;180;613;366;428
FrauensinddochbessereDiplomaten-36640.jpeg;Carl_Kuhlmann;M;201;613;387;428
FrauensinddochbessereDiplomaten-39360.jpeg;Willy_Fritsch;M;142;646;409;379
FrauensinddochbessereDiplomaten-44000.jpeg;Willy_Fritsch;M;175;629;283;521
FrauensinddochbessereDiplomaten-44550.jpeg;Willy_Fritsch;M;96;655;225;526
FrauensinddochbessereDiplomaten-44719.jpeg;Willy_Fritsch;M;96;583;225;454
FrauensinddochbessereDiplomaten-45968.jpeg;Willy_Fritsch;M;160;489;345;304
FrauensinddochbessereDiplomaten-46080.jpeg;Willy_Fritsch;M;77;551;263;366
FrauensinddochbessereDiplomaten-47200.jpeg;Willy_Fritsch;M;116;545;223;438
FrauensinddochbessereDiplomaten-48640.jpeg;Willy_Fritsch;M;133;614;288;459
FrauensinddochbessereDiplomaten-48800.jpeg;Willy_Fritsch;M;150;614;305;459
FrauensinddochbessereDiplomaten-6080.jpeg;Carl_Kuhlmann;M;175;497;283;390
FrauensinddochbessereDiplomaten-6720.jpeg;Carl_Kuhlmann;M;125;411;254;282
FrauensinddochbessereDiplomaten-80480.jpeg;Willy_Fritsch;M;354;619;428;544
FrauensinddochbessereDiplomaten-84480.jpeg;Willy_Fritsch;M;211;509;319;402
FrauensinddochbessereDiplomaten-87840.jpeg;Willy_Fritsch;M;110;397;239;268
FrauensinddochbessereDiplomaten-89760.jpeg;Ursula_Herking;F;225;425;354;296
FrauensinddochbessereDiplomaten-89920.jpeg;Ursula_Herking;F;202;390;356;236
FrauensinddochbessereDiplomaten-90400.jpeg;Ursula_Herking;F;211;440;340;311
FrauensinddochbessereDiplomaten-93280.jpeg;Willy_Fritsch;M;139;612;268;483
FrauensinddochbessereDiplomaten-94080.jpeg;Willy_Fritsch;M;82;741;211;612
