frame_name;actor_name;gender;top;right;bottom;left
GroeFreiheitNrHansAlbersVhsFilmDeutschia-10187.jpeg;Hans_Albers;M;106;335;196;245
GroeFreiheitNrHansAlbersVhsFilmDeutschia-102841.jpeg;Gustav_Knuth;M;229;212;304;137
GroeFreiheitNrHansAlbersVhsFilmDeutschia-103081.jpeg;Hans_Albers;M;80;353;155;278
GroeFreiheitNrHansAlbersVhsFilmDeutschia-103201.jpeg;Hans_Albers;M;88;370;163;295
GroeFreiheitNrHansAlbersVhsFilmDeutschia-103561.jpeg;Hans_Albers;M;77;407;263;221
GroeFreiheitNrHansAlbersVhsFilmDeutschia-105128.jpeg;Ilse_Werner;F;139;382;268;253
GroeFreiheitNrHansAlbersVhsFilmDeutschia-10530.jpeg;Hans_Albers;M;126;245;216;155
GroeFreiheitNrHansAlbersVhsFilmDeutschia-10743.jpeg;Hans_Albers;M;126;354;216;265
GroeFreiheitNrHansAlbersVhsFilmDeutschia-109755.jpeg;Hilde_Hildebrand;F;72;494;146;419
GroeFreiheitNrHansAlbersVhsFilmDeutschia-110564.jpeg;Hilde_Hildebrand;F;106;514;196;424
GroeFreiheitNrHansAlbersVhsFilmDeutschia-110987.jpeg;Hilde_Hildebrand;F;218;246;281;183
GroeFreiheitNrHansAlbersVhsFilmDeutschia-111057.jpeg;Hilde_Hildebrand;F;225;246;288;183
GroeFreiheitNrHansAlbersVhsFilmDeutschia-111414.jpeg;Hilde_Hildebrand;F;187;282;295;175
GroeFreiheitNrHansAlbersVhsFilmDeutschia-111624.jpeg;Hilde_Hildebrand;F;211;354;340;225
GroeFreiheitNrHansAlbersVhsFilmDeutschia-111998.jpeg;Hans_Albers;M;108;349;170;287
GroeFreiheitNrHansAlbersVhsFilmDeutschia-112099.jpeg;Hans_Albers;M;96;444;186;354
GroeFreiheitNrHansAlbersVhsFilmDeutschia-113424.jpeg;Hans_Albers;M;213;560;287;486
GroeFreiheitNrHansAlbersVhsFilmDeutschia-113970.jpeg;Hilde_Hildebrand;F;139;354;268;225
GroeFreiheitNrHansAlbersVhsFilmDeutschia-114110.jpeg;Hilde_Hildebrand;F;116;408;270;253
GroeFreiheitNrHansAlbersVhsFilmDeutschia-115407.jpeg;Ilse_Werner;F;146;511;221;436
GroeFreiheitNrHansAlbersVhsFilmDeutschia-115407.jpeg;Hilde_Hildebrand;F;138;378;213;303
GroeFreiheitNrHansAlbersVhsFilmDeutschia-115522.jpeg;Ilse_Werner;F;146;504;236;414
GroeFreiheitNrHansAlbersVhsFilmDeutschia-115522.jpeg;Hilde_Hildebrand;F;136;384;226;295
GroeFreiheitNrHansAlbersVhsFilmDeutschia-115935.jpeg;Hilde_Hildebrand;F;126;374;216;285
GroeFreiheitNrHansAlbersVhsFilmDeutschia-116295.jpeg;Hilde_Hildebrand;F;267;432;329;370
GroeFreiheitNrHansAlbersVhsFilmDeutschia-116761.jpeg;Ilse_Werner;F;146;573;236;484
GroeFreiheitNrHansAlbersVhsFilmDeutschia-116761.jpeg;Hilde_Hildebrand;F;156;414;245;325
GroeFreiheitNrHansAlbersVhsFilmDeutschia-117001.jpeg;Gustav_Knuth;M;92;175;199;67
GroeFreiheitNrHansAlbersVhsFilmDeutschia-117121.jpeg;Hilde_Hildebrand;F;171;411;246;337
GroeFreiheitNrHansAlbersVhsFilmDeutschia-117121.jpeg;Ilse_Werner;F;146;544;236;454
GroeFreiheitNrHansAlbersVhsFilmDeutschia-117628.jpeg;Hilde_Hildebrand;F;225;204;288;142
GroeFreiheitNrHansAlbersVhsFilmDeutschia-117748.jpeg;Hilde_Hildebrand;F;225;204;288;142
GroeFreiheitNrHansAlbersVhsFilmDeutschia-118794.jpeg;Ilse_Werner;F;104;247;211;139
GroeFreiheitNrHansAlbersVhsFilmDeutschia-12908.jpeg;Hans_Albers;M;211;330;319;223
GroeFreiheitNrHansAlbersVhsFilmDeutschia-130649.jpeg;Hans_Albers;M;196;335;285;245
GroeFreiheitNrHansAlbersVhsFilmDeutschia-136390.jpeg;Hans_Albers;M;101;360;153;308
GroeFreiheitNrHansAlbersVhsFilmDeutschia-136927.jpeg;Ilse_Werner;F;192;563;415;340
GroeFreiheitNrHansAlbersVhsFilmDeutschia-138502.jpeg;Hans_Albers;M;82;354;211;225
GroeFreiheitNrHansAlbersVhsFilmDeutschia-140494.jpeg;Hans_Albers;M;94;197;156;135
GroeFreiheitNrHansAlbersVhsFilmDeutschia-140614.jpeg;Hans_Albers;M;94;197;156;135
GroeFreiheitNrHansAlbersVhsFilmDeutschia-146885.jpeg;Ilse_Werner;F;142;557;409;290
GroeFreiheitNrHansAlbersVhsFilmDeutschia-149520.jpeg;Hans_Albers;M;182;368;311;239
GroeFreiheitNrHansAlbersVhsFilmDeutschia-14993.jpeg;Gustav_Knuth;M;199;569;307;462
GroeFreiheitNrHansAlbersVhsFilmDeutschia-154144.jpeg;Hans_Albers;M;206;255;295;165
GroeFreiheitNrHansAlbersVhsFilmDeutschia-15505.jpeg;Hilde_Hildebrand;F;104;438;211;330
GroeFreiheitNrHansAlbersVhsFilmDeutschia-155246.jpeg;Hans_Albers;M;63;598;384;277
GroeFreiheitNrHansAlbersVhsFilmDeutschia-15568.jpeg;Gustav_Knuth;M;199;581;307;474
GroeFreiheitNrHansAlbersVhsFilmDeutschia-15568.jpeg;Hans_Albers;M;259;330;367;223
GroeFreiheitNrHansAlbersVhsFilmDeutschia-155726.jpeg;Hans_Albers;M;171;557;439;290
GroeFreiheitNrHansAlbersVhsFilmDeutschia-17894.jpeg;Hans_Albers;M;96;339;225;210
GroeFreiheitNrHansAlbersVhsFilmDeutschia-18896.jpeg;Hans_Albers;M;96;339;225;210
GroeFreiheitNrHansAlbersVhsFilmDeutschia-19592.jpeg;Hans_Albers;M;211;187;319;79
GroeFreiheitNrHansAlbersVhsFilmDeutschia-25550.jpeg;Hilde_Hildebrand;F;156;524;245;434
GroeFreiheitNrHansAlbersVhsFilmDeutschia-25657.jpeg;Gustav_Knuth;M;116;322;270;167
GroeFreiheitNrHansAlbersVhsFilmDeutschia-25777.jpeg;Gustav_Knuth;M;98;322;253;167
GroeFreiheitNrHansAlbersVhsFilmDeutschia-27294.jpeg;Hilde_Hildebrand;F;140;509;247;402
GroeFreiheitNrHansAlbersVhsFilmDeutschia-27534.jpeg;Hilde_Hildebrand;F;128;509;235;402
GroeFreiheitNrHansAlbersVhsFilmDeutschia-27654.jpeg;Hilde_Hildebrand;F;128;509;235;402
GroeFreiheitNrHansAlbersVhsFilmDeutschia-28147.jpeg;Hilde_Hildebrand;F;196;526;325;397
GroeFreiheitNrHansAlbersVhsFilmDeutschia-28435.jpeg;Hilde_Hildebrand;F;184;373;339;218
GroeFreiheitNrHansAlbersVhsFilmDeutschia-29808.jpeg;Hans_Albers;M;116;404;206;315
GroeFreiheitNrHansAlbersVhsFilmDeutschia-29990.jpeg;Hans_Albers;M;116;384;206;295
GroeFreiheitNrHansAlbersVhsFilmDeutschia-30631.jpeg;Hans_Albers;M;96;339;225;210
GroeFreiheitNrHansAlbersVhsFilmDeutschia-30871.jpeg;Hans_Albers;M;98;390;253;236
GroeFreiheitNrHansAlbersVhsFilmDeutschia-31709.jpeg;Ilse_Werner;F;235;533;343;426
GroeFreiheitNrHansAlbersVhsFilmDeutschia-37895.jpeg;Ilse_Werner;F;82;325;211;196
GroeFreiheitNrHansAlbersVhsFilmDeutschia-40044.jpeg;Ilse_Werner;F;118;464;341;241
GroeFreiheitNrHansAlbersVhsFilmDeutschia-40496.jpeg;Ilse_Werner;F;118;414;341;191
GroeFreiheitNrHansAlbersVhsFilmDeutschia-40716.jpeg;Ilse_Werner;F;142;414;365;191
GroeFreiheitNrHansAlbersVhsFilmDeutschia-42398.jpeg;Hilde_Hildebrand;F;105;378;179;303
GroeFreiheitNrHansAlbersVhsFilmDeutschia-42638.jpeg;Hilde_Hildebrand;F;133;408;288;253
GroeFreiheitNrHansAlbersVhsFilmDeutschia-43044.jpeg;Hilde_Hildebrand;F;118;366;304;180
GroeFreiheitNrHansAlbersVhsFilmDeutschia-43554.jpeg;Hilde_Hildebrand;F;139;428;325;242
GroeFreiheitNrHansAlbersVhsFilmDeutschia-43858.jpeg;Hilde_Hildebrand;F;150;408;305;253
GroeFreiheitNrHansAlbersVhsFilmDeutschia-44218.jpeg;Hilde_Hildebrand;F;160;428;345;242
GroeFreiheitNrHansAlbersVhsFilmDeutschia-44338.jpeg;Hilde_Hildebrand;F;139;428;325;242
GroeFreiheitNrHansAlbersVhsFilmDeutschia-45646.jpeg;Ilse_Werner;F;167;253;322;98
GroeFreiheitNrHansAlbersVhsFilmDeutschia-45886.jpeg;Ilse_Werner;F;110;282;239;153
GroeFreiheitNrHansAlbersVhsFilmDeutschia-48268.jpeg;Ilse_Werner;F;140;402;247;294
GroeFreiheitNrHansAlbersVhsFilmDeutschia-50063.jpeg;Gustav_Knuth;M;196;382;325;253
GroeFreiheitNrHansAlbersVhsFilmDeutschia-51644.jpeg;Hilde_Hildebrand;F;146;511;221;436
GroeFreiheitNrHansAlbersVhsFilmDeutschia-57196.jpeg;Hans_Albers;M;118;324;304;139
GroeFreiheitNrHansAlbersVhsFilmDeutschia-59128.jpeg;Ilse_Werner;F;118;386;304;201
GroeFreiheitNrHansAlbersVhsFilmDeutschia-59266.jpeg;Ilse_Werner;F;150;373;305;218
GroeFreiheitNrHansAlbersVhsFilmDeutschia-65428.jpeg;Hans_Albers;M;191;308;253;246
GroeFreiheitNrHansAlbersVhsFilmDeutschia-66338.jpeg;Hans_Albers;M;125;483;254;354
GroeFreiheitNrHansAlbersVhsFilmDeutschia-66458.jpeg;Hans_Albers;M;125;497;254;368
GroeFreiheitNrHansAlbersVhsFilmDeutschia-66982.jpeg;Hans_Albers;M;104;402;211;294
GroeFreiheitNrHansAlbersVhsFilmDeutschia-67102.jpeg;Hans_Albers;M;104;426;211;318
GroeFreiheitNrHansAlbersVhsFilmDeutschia-67102.jpeg;Ilse_Werner;F;176;583;265;494
GroeFreiheitNrHansAlbersVhsFilmDeutschia-67462.jpeg;Ilse_Werner;F;152;545;259;438
GroeFreiheitNrHansAlbersVhsFilmDeutschia-67462.jpeg;Hans_Albers;M;82;440;211;311
GroeFreiheitNrHansAlbersVhsFilmDeutschia-67582.jpeg;Ilse_Werner;F;166;554;255;464
GroeFreiheitNrHansAlbersVhsFilmDeutschia-67582.jpeg;Hans_Albers;M;104;438;211;330
