frame_name;actor_name;gender;top;right;bottom;left
KittyUndDieWeltkonferenz-100749.jpeg;Fritz_Odemar;M;46;352;89;309
KittyUndDieWeltkonferenz-100999.jpeg;Hannelore_Schroth;F;94;294;156;232
KittyUndDieWeltkonferenz-102163.jpeg;Fritz_Odemar;M;70;314;113;271
KittyUndDieWeltkonferenz-103336.jpeg;Christian_Gollong;M;86;255;176;165
KittyUndDieWeltkonferenz-103373.jpeg;Hannelore_Schroth;F;96;295;186;205
KittyUndDieWeltkonferenz-103438.jpeg;Christian_Gollong;M;96;255;186;165
KittyUndDieWeltkonferenz-103503.jpeg;Hannelore_Schroth;F;96;315;186;225
KittyUndDieWeltkonferenz-103652.jpeg;Christian_Gollong;M;129;225;191;163
KittyUndDieWeltkonferenz-103699.jpeg;Hannelore_Schroth;F;92;318;199;211
KittyUndDieWeltkonferenz-108130.jpeg;Hannelore_Schroth;F;80;254;155;179
KittyUndDieWeltkonferenz-108380.jpeg;Maria_Nicklisch;F;80;342;142;280
KittyUndDieWeltkonferenz-109479.jpeg;Ali_Ghito;F;132;261;175;218
KittyUndDieWeltkonferenz-109979.jpeg;Ali_Ghito;F;134;333;170;297
KittyUndDieWeltkonferenz-110540.jpeg;Hannelore_Schroth;F;96;403;171;328
KittyUndDieWeltkonferenz-111007.jpeg;Hannelore_Schroth;F;88;428;163;353
KittyUndDieWeltkonferenz-111257.jpeg;Hannelore_Schroth;F;96;386;171;312
KittyUndDieWeltkonferenz-111671.jpeg;Hannelore_Schroth;F;86;374;176;285
KittyUndDieWeltkonferenz-113033.jpeg;Fritz_Odemar;M;110;339;239;210
KittyUndDieWeltkonferenz-113116.jpeg;Hannelore_Schroth;F;110;354;239;225
KittyUndDieWeltkonferenz-115081.jpeg;Fritz_Odemar;M;146;285;190;242
KittyUndDieWeltkonferenz-115738.jpeg;Fritz_Odemar;M;46;374;136;285
KittyUndDieWeltkonferenz-115988.jpeg;Maria_Nicklisch;F;149;259;211;197
KittyUndDieWeltkonferenz-115988.jpeg;Fritz_Odemar;M;56;424;146;335
KittyUndDieWeltkonferenz-116215.jpeg;Maria_Nicklisch;F;202;408;356;253
KittyUndDieWeltkonferenz-116343.jpeg;Fritz_Odemar;M;36;262;222;77
KittyUndDieWeltkonferenz-116495.jpeg;Maria_Nicklisch;F;202;390;356;236
