frame_name;actor_name;gender;top;right;bottom;left
LaHabanera-100200.jpeg;Zarah_Leander;F;192;538;415;315
LaHabanera-100200.jpeg;Ferdinand_Marian;M;167;885;390;662
LaHabanera-100400.jpeg;Ferdinand_Marian;M;142;860;365;637
LaHabanera-100400.jpeg;Zarah_Leander;F;242;513;464;291
LaHabanera-100500.jpeg;Zarah_Leander;F;192;538;415;315
LaHabanera-100700.jpeg;Zarah_Leander;F;217;563;440;340
LaHabanera-100700.jpeg;Ferdinand_Marian;M;118;910;341;687
LaHabanera-100894.jpeg;Zarah_Leander;F;242;513;464;291
LaHabanera-100894.jpeg;Ferdinand_Marian;M;118;959;341;736
LaHabanera-101809.jpeg;Karl_Martell;M;196;573;285;484
LaHabanera-102587.jpeg;Zarah_Leander;F;214;746;257;703
LaHabanera-102962.jpeg;Zarah_Leander;F;262;698;305;655
LaHabanera-103602.jpeg;Zarah_Leander;F;180;778;366;593
LaHabanera-104375.jpeg;Zarah_Leander;F;219;941;374;786
LaHabanera-105829.jpeg;Ferdinand_Marian;M;133;855;288;700
LaHabanera-106766.jpeg;Zarah_Leander;F;222;799;407;613
LaHabanera-106866.jpeg;Zarah_Leander;F;219;545;374;390
LaHabanera-107066.jpeg;Zarah_Leander;F;242;613;428;428
LaHabanera-107066.jpeg;Karl_Martell;M;139;861;325;675
LaHabanera-107247.jpeg;Ferdinand_Marian;M;139;675;325;489
LaHabanera-107988.jpeg;Ferdinand_Marian;M;139;675;325;489
LaHabanera-108336.jpeg;Ferdinand_Marian;M;98;840;284;655
LaHabanera-108436.jpeg;Ferdinand_Marian;M;150;820;305;666
LaHabanera-108536.jpeg;Ferdinand_Marian;M;150;803;305;648
LaHabanera-111144.jpeg;Zarah_Leander;F;236;872;391;717
LaHabanera-111244.jpeg;Zarah_Leander;F;236;872;391;717
LaHabanera-111653.jpeg;Zarah_Leander;F;150;941;305;786
LaHabanera-111753.jpeg;Zarah_Leander;F;150;958;305;803
LaHabanera-111853.jpeg;Zarah_Leander;F;150;958;305;803
LaHabanera-112310.jpeg;Zarah_Leander;F;171;825;439;557
LaHabanera-112463.jpeg;Karl_Martell;M;170;740;491;419
LaHabanera-112561.jpeg;Julia_Serda;F;170;812;491;491
LaHabanera-112761.jpeg;Zarah_Leander;F;231;854;498;587
LaHabanera-112861.jpeg;Zarah_Leander;F;142;825;409;557
LaHabanera-114077.jpeg;Karl_Martell;M;118;786;341;563
LaHabanera-114560.jpeg;Zarah_Leander;F;142;761;365;538
LaHabanera-114643.jpeg;Ferdinand_Marian;M;142;811;365;588
LaHabanera-114825.jpeg;Zarah_Leander;F;142;637;365;414
LaHabanera-114920.jpeg;Ferdinand_Marian;M;142;786;365;563
LaHabanera-115081.jpeg;Zarah_Leander;F;167;637;390;414
LaHabanera-115158.jpeg;Ferdinand_Marian;M;112;854;379;587
LaHabanera-11526.jpeg;Zarah_Leander;F;202;614;356;459
LaHabanera-116445.jpeg;Boris_Alekin;M;168;669;297;540
LaHabanera-118483.jpeg;Zarah_Leander;F;116;786;270;631
LaHabanera-118583.jpeg;Zarah_Leander;F;81;752;236;597
LaHabanera-118683.jpeg;Julia_Serda;F;67;640;196;511
LaHabanera-118783.jpeg;Zarah_Leander;F;82;683;211;554
LaHabanera-118983.jpeg;Zarah_Leander;F;81;683;236;528
LaHabanera-119083.jpeg;Zarah_Leander;F;82;712;211;583
LaHabanera-119283.jpeg;Zarah_Leander;F;67;698;196;569
LaHabanera-119483.jpeg;Zarah_Leander;F;82;655;211;526
LaHabanera-119583.jpeg;Zarah_Leander;F;82;669;211;540
LaHabanera-119683.jpeg;Zarah_Leander;F;82;698;211;569
LaHabanera-119983.jpeg;Zarah_Leander;F;81;700;236;545
LaHabanera-120661.jpeg;Zarah_Leander;F;139;716;325;531
LaHabanera-120761.jpeg;Zarah_Leander;F;118;696;304;510
LaHabanera-121261.jpeg;Julia_Serda;F;53;683;182;554
LaHabanera-122018.jpeg;Zarah_Leander;F;110;911;665;356
LaHabanera-122200.jpeg;Zarah_Leander;F;110;788;665;233
LaHabanera-122440.jpeg;Zarah_Leander;F;162;803;547;418
LaHabanera-122640.jpeg;Julia_Serda;F;162;846;547;461
LaHabanera-122740.jpeg;Julia_Serda;F;204;803;590;418
LaHabanera-123192.jpeg;Zarah_Leander;F;167;683;322;528
LaHabanera-124110.jpeg;Zarah_Leander;F;133;717;288;562
LaHabanera-125531.jpeg;Zarah_Leander;F;143;861;605;399
LaHabanera-125867.jpeg;Zarah_Leander;F;142;736;365;513
LaHabanera-126949.jpeg;Zarah_Leander;F;160;882;345;696
LaHabanera-127049.jpeg;Julia_Serda;F;160;861;345;675
LaHabanera-127849.jpeg;Karl_Martell;M;142;761;365;538
LaHabanera-127849.jpeg;Zarah_Leander;F;284;820;469;634
LaHabanera-128249.jpeg;Julia_Serda;F;284;799;469;613
LaHabanera-129090.jpeg;Ferdinand_Marian;M;98;861;284;675
LaHabanera-129772.jpeg;Zarah_Leander;F;214;309;257;266
LaHabanera-129772.jpeg;Julia_Serda;F;314;429;366;377
LaHabanera-130516.jpeg;Karl_Martell;M;217;910;440;687
LaHabanera-130776.jpeg;Karl_Martell;M;82;825;350;557
LaHabanera-130947.jpeg;Karl_Martell;M;112;825;379;557
LaHabanera-138192.jpeg;Zarah_Leander;F;275;812;365;723
LaHabanera-138279.jpeg;Zarah_Leander;F;182;870;311;741
LaHabanera-138479.jpeg;Zarah_Leander;F;196;884;325;755
LaHabanera-138679.jpeg;Zarah_Leander;F;254;941;383;812
LaHabanera-138964.jpeg;Zarah_Leander;F;239;726;368;597
LaHabanera-139064.jpeg;Zarah_Leander;F;239;726;368;597
LaHabanera-139164.jpeg;Zarah_Leander;F;247;665;355;557
