frame_name;actor_name;gender;top;right;bottom;left
MnchhausenK-105999.jpeg;Hans_Albers;M;142;398;205;335
MnchhausenK-107109.jpeg;Hans_Albers;M;116;464;206;374
MnchhausenK-107681.jpeg;Hans_Albers;M;113;187;164;135
MnchhausenK-108514.jpeg;Hans_Albers;M;142;266;205;204
MnchhausenK-108875.jpeg;Hans_Albers;M;152;462;259;354
MnchhausenK-109778.jpeg;Hans_Albers;M;142;290;185;247
MnchhausenK-129099.jpeg;Hans_Albers;M;101;487;153;435
MnchhausenK-133989.jpeg;Hans_Albers;M;86;354;176;265
MnchhausenK-13408.jpeg;Hans_Albers;M;80;569;187;462
MnchhausenK-134249.jpeg;Hans_Albers;M;199;402;307;294
MnchhausenK-134308.jpeg;Hans_Albers;M;130;419;204;345
MnchhausenK-134651.jpeg;Hans_Albers;M;96;394;186;305
MnchhausenK-135751.jpeg;Hans_Albers;M;128;211;235;103
MnchhausenK-135897.jpeg;Hans_Albers;M;152;211;259;103
MnchhausenK-136002.jpeg;Hans_Albers;M;223;354;331;247
MnchhausenK-13658.jpeg;Hans_Albers;M;68;545;175;438
MnchhausenK-14312.jpeg;Hans_Brausewetter;M;46;135;108;73
MnchhausenK-14564.jpeg;Hans_Albers;M;118;262;304;77
MnchhausenK-150847.jpeg;Hans_Albers;M;92;318;199;211
MnchhausenK-151136.jpeg;Hans_Albers;M;128;318;235;211
MnchhausenK-151981.jpeg;Hans_Albers;M;116;442;270;287
MnchhausenK-152417.jpeg;Hans_Albers;M;0;379;260;111
MnchhausenK-154605.jpeg;Hans_Albers;M;121;220;196;146
MnchhausenK-15645.jpeg;Hans_Albers;M;76;285;166;195
MnchhausenK-157959.jpeg;Marina_von_Ditmar;F;184;304;339;150
MnchhausenK-159655.jpeg;Hans_Albers;M;67;296;196;167
MnchhausenK-159749.jpeg;Hans_Brausewetter;M;116;442;270;287
MnchhausenK-159870.jpeg;Hans_Albers;M;96;382;225;253
MnchhausenK-160252.jpeg;Marina_von_Ditmar;F;167;390;322;236
MnchhausenK-160931.jpeg;Hans_Albers;M;77;428;263;242
MnchhausenK-161094.jpeg;Hans_Brausewetter;M;118;428;304;242
MnchhausenK-16145.jpeg;Hans_Albers;M;93;390;316;167
MnchhausenK-161962.jpeg;Hans_Albers;M;92;330;199;223
MnchhausenK-162808.jpeg;Marina_von_Ditmar;F;164;504;216;452
MnchhausenK-16556.jpeg;Hans_Albers;M;80;366;187;259
MnchhausenK-165795.jpeg;Hans_Albers;M;102;365;138;329
MnchhausenK-166230.jpeg;Hans_Albers;M;98;390;253;236
MnchhausenK-166374.jpeg;Hans_Albers;M;98;408;253;253
MnchhausenK-16806.jpeg;Hans_Albers;M;116;450;223;342
MnchhausenK-17186.jpeg;Marina_von_Ditmar;F;126;185;216;96
MnchhausenK-17436.jpeg;Hans_Albers;M;86;424;176;335
MnchhausenK-17478.jpeg;Marina_von_Ditmar;F;126;195;216;106
MnchhausenK-17772.jpeg;Hans_Albers;M;121;444;196;370
MnchhausenK-17941.jpeg;Marina_von_Ditmar;F;116;195;206;106
MnchhausenK-18015.jpeg;Hans_Albers;M;116;318;223;211
MnchhausenK-18265.jpeg;Hans_Albers;M;96;339;225;210
MnchhausenK-18765.jpeg;Hans_Albers;M;96;325;225;196
MnchhausenK-19015.jpeg;Hans_Albers;M;116;306;223;199
MnchhausenK-19073.jpeg;Marina_von_Ditmar;F;116;195;206;106
MnchhausenK-19219.jpeg;Hans_Albers;M;126;394;216;305
MnchhausenK-22193.jpeg;Hans_Albers;M;102;437;138;401
MnchhausenK-25052.jpeg;Hans_Albers;M;129;204;191;142
MnchhausenK-25302.jpeg;Hans_Albers;M;115;232;177;170
MnchhausenK-25552.jpeg;Hans_Albers;M;115;232;177;170
MnchhausenK-26210.jpeg;Hans_Albers;M;63;287;138;212
MnchhausenK-26460.jpeg;Hans_Albers;M;72;287;146;212
MnchhausenK-26923.jpeg;Hans_Albers;M;108;232;170;170
MnchhausenK-27506.jpeg;Hans_Albers;M;87;391;149;328
MnchhausenK-28006.jpeg;Hans_Albers;M;87;349;149;287
MnchhausenK-28319.jpeg;Hans_Albers;M;108;294;170;232
MnchhausenK-32666.jpeg;Hans_Albers;M;59;273;122;211
MnchhausenK-32916.jpeg;Hans_Albers;M;80;328;142;266
MnchhausenK-34578.jpeg;Hans_Albers;M;213;270;287;196
MnchhausenK-3651.jpeg;Marina_von_Ditmar;F;176;384;265;295
MnchhausenK-371.jpeg;Hans_Albers;M;118;414;341;191
MnchhausenK-37880.jpeg;Hans_Albers;M;142;390;365;167
MnchhausenK-39001.jpeg;Hans_Albers;M;142;414;365;191
MnchhausenK-39251.jpeg;Hans_Albers;M;118;390;341;167
MnchhausenK-39343.jpeg;Hans_Albers;M;118;390;341;167
MnchhausenK-39593.jpeg;Hans_Albers;M;118;414;341;191
MnchhausenK-39889.jpeg;Hans_Albers;M;118;414;341;191
MnchhausenK-39983.jpeg;Hans_Albers;M;142;414;365;191
MnchhausenK-42578.jpeg;Hans_Albers;M;92;318;199;211
MnchhausenK-42828.jpeg;Hans_Albers;M;96;245;186;155
MnchhausenK-44256.jpeg;Hans_Albers;M;106;245;196;155
MnchhausenK-45297.jpeg;Hans_Albers;M;106;335;196;245
MnchhausenK-47820.jpeg;Hans_Albers;M;78;441;114;405
MnchhausenK-51890.jpeg;Hans_Albers;M;139;354;268;225
