frame_name;actor_name;gender;top;right;bottom;left;
AltesHerzwirdwiederJung-122240.jpeg;Emil_Jannings;M;30;162;105;88;
AltesHerzwirdwiederJung-122752.jpeg;Emil_Jannings;M;118;124;170;72;
AltesHerzwirdwiederJung-124416.jpeg;Maria_Landrock;F;26;213;70;170;
AltesHerzwirdwiederJung-129664.jpeg;Emil_Jannings;M;25;211;87;149;
AltesHerzwirdwiederJung-129792.jpeg;Emil_Jannings;M;44;199;95;147;
AltesHerzwirdwiederJung-130688.jpeg;Emil_Jannings;M;44;187;95;135;
AltesHerzwirdwiederJung-130944.jpeg;Emil_Jannings;M;32;218;94;156;
AltesHerzwirdwiederJung-131712.jpeg;Emil_Jannings;M;32;218;94;156;
AltesHerzwirdwiederJung-133888.jpeg;Maria_Landrock;F;30;161;66;125;
AltesHerzwirdwiederJung-138240.jpeg;Emil_Jannings;M;59;176;122;114;
AltesHerzwirdwiederJung-138368.jpeg;Emil_Jannings;M;47;179;121;104;
AltesHerzwirdwiederJung-138496.jpeg;Emil_Jannings;M;55;187;130;113;
AltesHerzwirdwiederJung-143744.jpeg;Emil_Jannings;M;59;170;122;107;
AltesHerzwirdwiederJung-147968.jpeg;Emil_Jannings;M;46;184;89;141;
AltesHerzwirdwiederJung-149760.jpeg;Emil_Jannings;M;32;118;84;66;
AltesHerzwirdwiederJung-149888.jpeg;Elisabeth_Flickenschild;F;41;213;84;170;
AltesHerzwirdwiederJung-150272.jpeg;Elisabeth_Flickenschild;F;41;213;84;170;
AltesHerzwirdwiederJung-154112.jpeg;Emil_Jannings;M;38;212;113;137;
AltesHerzwirdwiederJung-154368.jpeg;Emil_Jannings;M;53;225;115;163;
AltesHerzwirdwiederJung-155136.jpeg;Emil_Jannings;M;39;232;101;170;
AltesHerzwirdwiederJung-18048.jpeg;Emil_Jannings;M;79;165;122;122;
AltesHerzwirdwiederJung-20992.jpeg;Emil_Jannings;M;38;170;90;118;
AltesHerzwirdwiederJung-21632.jpeg;Emil_Jannings;M;38;164;90;112;
AltesHerzwirdwiederJung-22016.jpeg;Emil_Jannings;M;55;165;98;122;
AltesHerzwirdwiederJung-25856.jpeg;Emil_Jannings;M;101;112;153;60;
AltesHerzwirdwiederJung-27776.jpeg;Emil_Jannings;M;39;176;101;114;
AltesHerzwirdwiederJung-28544.jpeg;Emil_Jannings;M;39;183;101;121;
AltesHerzwirdwiederJung-28672.jpeg;Emil_Jannings;M;39;176;101;114;
AltesHerzwirdwiederJung-28800.jpeg;Emil_Jannings;M;39;183;101;121;
AltesHerzwirdwiederJung-28928.jpeg;Emil_Jannings;M;39;197;101;135;
AltesHerzwirdwiederJung-29312.jpeg;Emil_Jannings;M;72;227;124;175;
AltesHerzwirdwiederJung-30592.jpeg;Emil_Jannings;M;39;211;101;149;
AltesHerzwirdwiederJung-30720.jpeg;Emil_Jannings;M;39;190;101;128;
AltesHerzwirdwiederJung-38400.jpeg;Emil_Jannings;M;44;152;95;101;
AltesHerzwirdwiederJung-47360.jpeg;Emil_Jannings;M;46;197;108;135;
AltesHerzwirdwiederJung-47488.jpeg;Emil_Jannings;M;53;190;115;128;
AltesHerzwirdwiederJung-48384.jpeg;Emil_Jannings;M;46;242;89;199;
AltesHerzwirdwiederJung-48768.jpeg;Emil_Jannings;M;39;211;101;149;
AltesHerzwirdwiederJung-48896.jpeg;Emil_Jannings;M;39;218;101;156;
AltesHerzwirdwiederJung-68864.jpeg;Emil_Jannings;M;32;170;94;107;
AltesHerzwirdwiederJung-71168.jpeg;Emil_Jannings;M;38;216;90;164;
AltesHerzwirdwiederJung-73472.jpeg;Emil_Jannings;M;41;146;84;103;
AltesHerzwirdwiederJung-84608.jpeg;Maria_Landrock;F;38;158;90;106;
AltesHerzwirdwiederJung-86400.jpeg;Maria_Landrock;F;46;125;82;89;
AltesHerzwirdwiederJung-9344.jpeg;Maria_Landrock;F;89;146;132;103;
AltesHerzwirdwiederJung-93440.jpeg;Emil_Jannings;M;49;141;101;89;
AltesHerzwirdwiederJung-94720.jpeg;Emil_Jannings;M;46;153;82;117;
AltesHerzwirdwiederJung-9984.jpeg;Maria_Landrock;F;90;125;126;89;
AmphitryonakaLesDieuxsamusentia-131927.jpeg;Adele_Sandrock;F;38;478;113;403;
AmphitryonakaLesDieuxsamusentia-13238.jpeg;Hilde_Hildebrand;F;133;459;288;304;
AmphitryonakaLesDieuxsamusentia-139157.jpeg;Willy_Fritsch;M;98;572;284;386;
AmphitryonakaLesDieuxsamusentia-141920.jpeg;Willy_Fritsch;M;133;425;288;270;
AmphitryonakaLesDieuxsamusentia-25041.jpeg;Hilde_Hildebrand;F;104;247;211;139;
AmphitryonakaLesDieuxsamusentia-42860.jpeg;Willy_Fritsch;M;211;199;319;91;
AmphitryonakaLesDieuxsamusentia-45428.jpeg;Hilde_Hildebrand;F;116;426;223;318;
AmphitryonakaLesDieuxsamusentia-53279.jpeg;Willy_Fritsch;M;152;557;259;450;
AmphitryonakaLesDieuxsamusentia-53519.jpeg;Willy_Fritsch;M;199;581;307;474;
AmphitryonakaLesDieuxsamusentia-53913.jpeg;Willy_Fritsch;M;98;675;284;489;
AmphitryonakaLesDieuxsamusentia-70351.jpeg;Hilde_Hildebrand;F;118;439;341;216;
AmphitryonakaLesDieuxsamusentia-71692.jpeg;Hilde_Hildebrand;F;176;250;228;199;
AmphitryonakaLesDieuxsamusentia-74056.jpeg;Hilde_Hildebrand;F;90;262;141;210;
AmphitryonakaLesDieuxsamusentia-74287.jpeg;Hilde_Hildebrand;F;164;371;216;319;
AmphitryonakaLesDieuxsamusentia-76346.jpeg;Hilde_Hildebrand;F;325;504;415;414;
AmphitryonakaLesDieuxsamusentia-76826.jpeg;Willy_Fritsch;M;106;404;196;315;
AmphitryonakaLesDieuxsamusentia-77692.jpeg;Hilde_Hildebrand;F;187;426;295;318;
AmphitryonakaLesDieuxsamusentia-77872.jpeg;Hilde_Hildebrand;F;152;438;259;330;
AmphitryonakaLesDieuxsamusentia-8594.jpeg;Hilde_Hildebrand;F;112;468;379;200;
AmphitryonakaLesDieuxsamusentia-86815.jpeg;Willy_Fritsch;M;63;320;138;245;
AmphitryonakaLesDieuxsamusentia-88700.jpeg;Willy_Fritsch;M;211;187;319;79;
AmphitryonakaLesDieuxsamusentia-88940.jpeg;Willy_Fritsch;M;211;187;319;79;
BelAmiia-101185.jpeg;Hilde_Hildebrand;F;426;619;488;557;
BelAmiia-102382.jpeg;Hilde_Hildebrand;F;116;497;223;390;
BelAmiia-102632.jpeg;Hilde_Hildebrand;F;106;544;196;454;
BelAmiia-102753.jpeg;Hilde_Hildebrand;F;86;474;176;384;
BelAmiia-103967.jpeg;Hilde_Hildebrand;F;106;514;196;424;
BelAmiia-104217.jpeg;Willi_Forst;M;142;333;185;290;
BelAmiia-105351.jpeg;Willi_Forst;M;82;569;211;440;
BelAmiia-105601.jpeg;Olga_Tschechowa;F;350;409;386;373;
BelAmiia-109338.jpeg;Willi_Forst;M;77;469;263;283;
BelAmiia-110005.jpeg;Olga_Tschechowa;F;32;556;84;504;
BelAmiia-110461.jpeg;Willi_Forst;M;113;245;188;171;
BelAmiia-111106.jpeg;Willi_Forst;M;140;270;247;163;
BelAmiia-111289.jpeg;Willi_Forst;M;128;270;235;163;
BelAmiia-111749.jpeg;Willi_Forst;M;116;408;270;253;
BelAmiia-111910.jpeg;Willi_Forst;M;153;383;205;331;
BelAmiia-116036.jpeg;Hilde_Hildebrand;F;128;497;235;390;
BelAmiia-123061.jpeg;Ilse_Werner;F;142;414;365;191;
BelAmiia-123242.jpeg;Ilse_Werner;F;106;374;196;285;
BelAmiia-123342.jpeg;Willi_Forst;M;68;402;175;294;
BelAmiia-124015.jpeg;Willi_Forst;M;98;459;253;304;
BelAmiia-124811.jpeg;Willi_Forst;M;160;448;345;262;
BelAmiia-126775.jpeg;Willi_Forst;M;118;464;341;241;
BelAmiia-130014.jpeg;Willi_Forst;M;171;444;246;370;
BelAmiia-130264.jpeg;Willi_Forst;M;116;425;270;270;
BelAmiia-130626.jpeg;Willi_Forst;M;81;442;236;287;
BelAmiia-131177.jpeg;Willi_Forst;M;116;390;223;282;
BelAmiia-13208.jpeg;Willi_Forst;M;38;403;113;328;
BelAmiia-132129.jpeg;Willi_Forst;M;82;325;211;196;
BelAmiia-136867.jpeg;Hilde_Hildebrand;F;70;309;113;266;
BelAmiia-19488.jpeg;Willi_Forst;M;175;497;283;390;
BelAmiia-25205.jpeg;Johannes_Riemann;M;25;467;87;405;
BelAmiia-26957.jpeg;Willi_Forst;M;140;426;247;318;
BelAmiia-26957.jpeg;Hilde_Hildebrand;F;255;275;345;185;
BelAmiia-27313.jpeg;Olga_Tschechowa;F;187;366;295;259;
BelAmiia-27998.jpeg;Hilde_Hildebrand;F;230;561;266;525;
BelAmiia-28346.jpeg;Hilde_Hildebrand;F;196;135;285;46;
BelAmiia-28959.jpeg;Willi_Forst;M;159;423;211;371;
BelAmiia-30532.jpeg;Olga_Tschechowa;F;126;315;216;225;
BelAmiia-30782.jpeg;Olga_Tschechowa;F;136;344;226;255;
BelAmiia-32899.jpeg;Willi_Forst;M;80;602;155;527;
BelAmiia-35613.jpeg;Willi_Forst;M;104;426;211;318;
BelAmiia-38555.jpeg;Hilde_Hildebrand;F;88;494;163;419;
BelAmiia-40346.jpeg;Hilde_Hildebrand;F;128;569;235;462;
BelAmiia-41869.jpeg;Olga_Tschechowa;F;121;262;196;187;
BelAmiia-42931.jpeg;Olga_Tschechowa;F;96;374;186;285;
BelAmiia-43847.jpeg;Olga_Tschechowa;F;72;278;146;204;
BelAmiia-4410.jpeg;Willi_Forst;M;44;438;152;330;
BelAmiia-44711.jpeg;Olga_Tschechowa;F;96;374;186;285;
BelAmiia-46194.jpeg;Willi_Forst;M;116;424;206;335;
BelAmiia-47620.jpeg;Olga_Tschechowa;F;80;390;187;282;
BelAmiia-50178.jpeg;Willi_Forst;M;55;285;107;233;
BelAmiia-51277.jpeg;Olga_Tschechowa;F;135;508;198;446;
BelAmiia-51573.jpeg;Olga_Tschechowa;F;86;554;176;464;
BelAmiia-62422.jpeg;Olga_Tschechowa;F;204;519;279;444;
BelAmiia-64363.jpeg;Olga_Tschechowa;F;152;438;259;330;
BelAmiia-65297.jpeg;Olga_Tschechowa;F;254;486;329;411;
BelAmiia-66441.jpeg;Olga_Tschechowa;F;115;322;177;259;
BelAmiia-66806.jpeg;Willi_Forst;M;103;357;146;314;
BelAmiia-67388.jpeg;Willi_Forst;M;96;305;186;215;
BelAmiia-67492.jpeg;Olga_Tschechowa;F;136;444;226;354;
BelAmiia-67767.jpeg;Olga_Tschechowa;F;142;522;205;460;
BelAmiia-68046.jpeg;Olga_Tschechowa;F;177;563;239;501;
BelAmiia-68612.jpeg;Willi_Forst;M;116;306;223;199;
BelAmiia-69607.jpeg;Willi_Forst;M;116;255;206;165;
BelAmiia-70096.jpeg;Olga_Tschechowa;F;126;563;216;474;
BelAmiia-70346.jpeg;Olga_Tschechowa;F;140;474;247;366;
BelAmiia-71086.jpeg;Olga_Tschechowa;F;116;366;223;259;
BelAmiia-71281.jpeg;Willi_Forst;M;104;438;211;330;
BelAmiia-71368.jpeg;Olga_Tschechowa;F;110;382;239;253;
