frame_name;actor_name;gender;top;right;bottom;left
QuaxderBruchpilotp-107850.jpeg;Hilde_Sessak;F;152;533;259;426
QuaxderBruchpilotp-117250.jpeg;Harry_Liedtke;M;81;906;236;752
QuaxderBruchpilotp-132500.jpeg;Elga_Brink;F;140;712;247;605
QuaxderBruchpilotp-133950.jpeg;Elga_Brink;F;153;325;282;196
QuaxderBruchpilotp-151750.jpeg;Georg_Vogelsang;M;113;320;188;245
QuaxderBruchpilotp-165150.jpeg;Elga_Brink;F;128;712;235;605
QuaxderBruchpilotp-170800.jpeg;Elga_Brink;F;225;554;354;425
QuaxderBruchpilotp-182350.jpeg;Elga_Brink;F;175;915;283;808
QuaxderBruchpilotp-201050.jpeg;Georg_Vogelsang;M;98;631;253;476
QuaxderBruchpilotp-202750.jpeg;Georg_Vogelsang;M;129;840;191;778
QuaxderBruchpilotp-258200.jpeg;Georg_Vogelsang;M;87;425;149;363
QuaxderBruchpilotp-46200.jpeg;Hilde_Sessak;F;153;712;282;583
QuaxderBruchpilotp-47150.jpeg;Hilde_Sessak;F;168;726;297;597
QuaxderBruchpilotp-47600.jpeg;Hilde_Sessak;F;139;726;268;597
QuaxderBruchpilotp-48800.jpeg;Hilde_Sessak;F;180;778;366;593
QuaxderBruchpilotp-51350.jpeg;Hilde_Sessak;F;133;838;288;683
QuaxderBruchpilotp-51550.jpeg;Hilde_Sessak;F;116;924;270;769
QuaxderBruchpilotp-51800.jpeg;Hilde_Sessak;F;133;906;288;752
QuaxderBruchpilotp-52000.jpeg;Hilde_Sessak;F;150;924;305;769
QuaxderBruchpilotp-52300.jpeg;Hilde_Sessak;F;118;820;304;634
QuaxderBruchpilotp-52750.jpeg;Hilde_Sessak;F;118;860;341;637
QuaxderBruchpilotp-54900.jpeg;Hilde_Sessak;F;163;689;271;581
QuaxderBruchpilotp-6100.jpeg;Georg_Vogelsang;M;142;660;185;616
