frame_name,actor_name,gender,top,right,bottom,left
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-102656.jpeg,Hans_Unterkircher,m,54,209,90,173
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-107904.jpeg,Hermann_Speelmans,m,63,179,138,104
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-108032.jpeg,Hermann_Speelmans,m,72,187,146,113
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-108160.jpeg,Hermann_Speelmans,m,63,204,138,129
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-110592.jpeg,Ludwig_Schmitz,m,73,246,135,183
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-111360.jpeg,Ursula_Grabley,w,56,199,163,91
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-113152.jpeg,Ilse_Petri,w,36,215,126,126
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-118016.jpeg,Hermann_Speelmans,m,34,249,70,213
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-124672.jpeg,Hugo_Werner_Kahle,m,32,164,84,112
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-128768.jpeg,Olga_Tschechowa,w,30,171,105,96
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-129792.jpeg,Annemarie_Korff,w,49,227,101,175
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-131584.jpeg,Hermann_Speelmans,m,44,135,95,83
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-131712.jpeg,Hermann_Speelmans,m,44,129,95,78
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-132352.jpeg,Clementia_Egies,w,31,280,74,237
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-136832.jpeg,Hermann_Speelmans,m,22,212,96,137
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-136960.jpeg,Hermann_Speelmans,m,22,237,96,162
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-137600.jpeg,Ursula_Grabley,w,30,77,66,41
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-138368.jpeg,Ilse_Petri,w,54,181,90,145
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-138880.jpeg,Erika_von_Thellmann,w,38,281,74,245
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-138880.jpeg,Hermann_Speelmans,m,36,127,79,84
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-139136.jpeg,Marina_von_Ditmar,w,50,261,94,218
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-140288.jpeg,Hermann_Speelmans,m,38,179,113,104
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-146944.jpeg,Hermann_Speelmans,m,47,187,121,113
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-148736.jpeg,Fritz_Odemar,m,46,205,136,116
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-148992.jpeg,Hansi_Knoteck,w,47,212,121,137
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-149120.jpeg,Hilde_von_Stolz,w,44,273,95,222
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-149760.jpeg,Maria_Landrock,w,50,252,94,208
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-151936.jpeg,Hermann_Speelmans,m,55,233,107,181
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-154112.jpeg,Hermann_Speelmans,m,22,157,58,121
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-154368.jpeg,Willi_Kaiser_Heyl,m,25,183,87,121
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-20480.jpeg,Hermann_Speelmans,m,36,180,79,136
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-28672.jpeg,Ilse_Petri,w,70,213,106,177
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-39552.jpeg,Hermann_Speelmans,m,38,250,90,199
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-39808.jpeg,Hermann_Speelmans,m,53,204,115,142
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-40320.jpeg,Hermann_Speelmans,m,38,129,113,55
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-40704.jpeg,Hella_Graf,w,59,190,122,128
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-40832.jpeg,Ilse_Petri,w,66,190,129,128
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-42240.jpeg,Marina_von_Ditmar,w,94,121,156,59
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-43264.jpeg,Hansi_Knoteck,w,46,170,108,107
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-43520.jpeg,Edith_Oss,w,38,129,90,78
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-46080.jpeg,Hermann_Speelmans,m,58,101,94,65
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-47360.jpeg,Hermann_Speelmans,m,42,241,78,205
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-53888.jpeg,Erika_von_Thellmann,w,32,193,84,141
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-57472.jpeg,Fritz_Odemar,m,55,204,130,129
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-57600.jpeg,Hermann_Speelmans,m,38,204,113,129
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-57728.jpeg,Hermann_Speelmans,m,55,204,130,129
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-58496.jpeg,Hans_Unterkircher,m,59,190,122,128
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-62848.jpeg,Hans_Unterkircher,m,55,204,98,160
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-62976.jpeg,Hans_Unterkircher,m,60,199,103,156
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-63488.jpeg,Hans_Unterkircher,m,65,184,108,141
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-63616.jpeg,Hans_Unterkircher,m,65,184,108,141
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-65536.jpeg,Hans_Unterkircher,m,25,176,87,114
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-66688.jpeg,Ilse_Petri,w,70,253,106,217
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-68608.jpeg,Clementia_Egies,w,55,262,107,210
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-68736.jpeg,Clementia_Egies,w,55,252,98,208
SherlockHolmesDiegraueDameTrudeMarlensHermannSpeelmannsia-68736.jpeg,Fritz_Odemar,m,41,127,84,84
