frame_name;actor_name;gender;top;right;bottom;left
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-28288.jpeg;Heinz_Salfner;M;55;348;107;296
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-28800.jpeg;Heinz_Salfner;M;92;294;199;187
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-29568.jpeg;Heinz_Salfner;M;80;282;187;175
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-29696.jpeg;Heinz_Salfner;M;80;282;187;175
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-54656.jpeg;Gustav_Waldau;M;105;270;179;196
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-56832.jpeg;Hans_Schwarz;M;56;315;146;225
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-57216.jpeg;Hans_Schwarz;M;82;296;211;167
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-57344.jpeg;Hans_Schwarz;M;82;282;211;153
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-71296.jpeg;Heinz_Salfner;M;66;305;156;215
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-71424.jpeg;Heinz_Salfner;M;66;305;156;215
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-71552.jpeg;Heinz_Salfner;M;56;325;146;235
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-71936.jpeg;Heinz_Salfner;M;80;330;187;223
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-8192.jpeg;Hans_Richter;M;72;314;124;262
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-8448.jpeg;Heinz_Salfner;M;55;308;107;256
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-8704.jpeg;Hans_Richter;M;66;356;129;294
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-98048.jpeg;Heinz_Salfner;M;88;262;163;187
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-98304.jpeg;Heinz_Salfner;M;76;265;166;175
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-98432.jpeg;Heinz_Salfner;M;76;265;166;175
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-98944.jpeg;Heinz_Salfner;M;96;262;171;187
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-99200.jpeg;Heinz_Salfner;M;88;270;163;196
UnserFruleinDoktorJennyJugoHeinzSalfnerAlbertMatterstockHansRichter-99712.jpeg;Heinz_Salfner;M;88;278;163;204
