frame_name;actor_name;gender;top;right;bottom;left
UnterDenBruckenia-100723.jpeg;Carl_Raddatz;M;103;323;146;280
UnterDenBruckenia-104943.jpeg;Hannelore_Schroth;F;325;612;454;483
UnterDenBruckenia-105183.jpeg;Hannelore_Schroth;F;311;612;440;483
UnterDenBruckenia-105858.jpeg;Hannelore_Schroth;F;254;540;383;411
UnterDenBruckenia-106098.jpeg;Hannelore_Schroth;F;268;540;397;411
UnterDenBruckenia-106338.jpeg;Hannelore_Schroth;F;268;540;397;411
UnterDenBruckenia-106578.jpeg;Hannelore_Schroth;F;297;554;426;425
UnterDenBruckenia-106818.jpeg;Hannelore_Schroth;F;268;540;397;411
UnterDenBruckenia-10800.jpeg;Gustav_Knuth;M;150;390;305;236
UnterDenBruckenia-115919.jpeg;Hannelore_Schroth;F;80;462;187;354
UnterDenBruckenia-116143.jpeg;Hannelore_Schroth;F;68;485;175;378
UnterDenBruckenia-116289.jpeg;Hannelore_Schroth;F;56;462;163;354
UnterDenBruckenia-116485.jpeg;Gustav_Knuth;M;67;425;196;296
UnterDenBruckenia-117056.jpeg;Hannelore_Schroth;F;218;550;281;487
UnterDenBruckenia-117605.jpeg;Hannelore_Schroth;F;128;438;235;330
UnterDenBruckenia-117735.jpeg;Hannelore_Schroth;F;171;557;439;290
UnterDenBruckenia-119023.jpeg;Hannelore_Schroth;F;171;498;439;230
UnterDenBruckenia-121990.jpeg;Hannelore_Schroth;F;171;527;439;260
UnterDenBruckenia-122469.jpeg;Hannelore_Schroth;F;146;454;236;364
UnterDenBruckenia-122633.jpeg;Hannelore_Schroth;F;96;468;225;339
UnterDenBruckenia-122887.jpeg;Hannelore_Schroth;F;110;468;239;339
UnterDenBruckenia-125723.jpeg;Gustav_Knuth;M;67;368;196;239
UnterDenBruckenia-127916.jpeg;Carl_Raddatz;M;201;557;468;290
UnterDenBruckenia-131175.jpeg;Gustav_Knuth;M;88;245;163;171
UnterDenBruckenia-133506.jpeg;Hannelore_Schroth;F;247;593;355;485
UnterDenBruckenia-133746.jpeg;Hannelore_Schroth;F;239;583;368;454
UnterDenBruckenia-133986.jpeg;Hannelore_Schroth;F;247;545;355;438
UnterDenBruckenia-135506.jpeg;Gustav_Knuth;M;180;366;366;180
UnterDenBruckenia-136595.jpeg;Carl_Raddatz;M;55;386;130;312
UnterDenBruckenia-138734.jpeg;Carl_Raddatz;M;10;454;139;325
UnterDenBruckenia-139088.jpeg;Carl_Raddatz;M;110;669;239;540
