frame_name;actor_name;gender;top;right;bottom;left
ViktorundViktoria-10027.jpeg;Hermann_Thimig;M;297;759;759;297
ViktorundViktoria-10276.jpeg;Hermann_Thimig;M;246;656;708;194
ViktorundViktoria-106889.jpeg;Fritz_Odemar;M;167;761;390;538
ViktorundViktoria-108134.jpeg;Fritz_Odemar;M;167;563;390;340
ViktorundViktoria-108383.jpeg;Fritz_Odemar;M;242;593;428;407
ViktorundViktoria-115283.jpeg;Hermann_Thimig;M;167;476;322;322
ViktorundViktoria-115532.jpeg;Hermann_Thimig;M;180;1088;366;902
ViktorundViktoria-117026.jpeg;Hermann_Thimig;M;118;860;341;637
ViktorundViktoria-117597.jpeg;Hilde_Hildebrand;F;168;927;297;798
ViktorundViktoria-119397.jpeg;Fritz_Odemar;M;105;693;179;619
ViktorundViktoria-119895.jpeg;Fritz_Odemar;M;167;906;322;752
ViktorundViktoria-123879.jpeg;Hilde_Hildebrand;F;275;882;365;792
ViktorundViktoria-124924.jpeg;Hilde_Hildebrand;F;196;822;285;733
ViktorundViktoria-128161.jpeg;Fritz_Odemar;M;140;689;247;581
ViktorundViktoria-129833.jpeg;Fritz_Odemar;M;112;557;379;290
ViktorundViktoria-130133.jpeg;Fritz_Odemar;M;160;675;345;489
ViktorundViktoria-130880.jpeg;Hermann_Thimig;M;118;593;304;407
ViktorundViktoria-135218.jpeg;Hermann_Thimig;M;325;597;454;468
ViktorundViktoria-139479.jpeg;Fritz_Odemar;M;163;808;271;700
ViktorundViktoria-14611.jpeg;Hermann_Thimig;M;194;656;657;194
ViktorundViktoria-15358.jpeg;Hermann_Thimig;M;112;943;379;676
ViktorundViktoria-15607.jpeg;Fritz_Odemar;M;242;736;464;513
ViktorundViktoria-15856.jpeg;Hermann_Thimig;M;201;861;387;675
ViktorundViktoria-16105.jpeg;Fritz_Odemar;M;201;861;387;675
ViktorundViktoria-17101.jpeg;Hermann_Thimig;M;217;786;440;563
ViktorundViktoria-20728.jpeg;Hermann_Thimig;M;192;588;415;365
ViktorundViktoria-21083.jpeg;Hermann_Thimig;M;242;563;464;340
ViktorundViktoria-21884.jpeg;Hermann_Thimig;M;167;712;390;489
ViktorundViktoria-22971.jpeg;Hermann_Thimig;M;192;687;415;464
ViktorundViktoria-23566.jpeg;Hermann_Thimig;M;384;919;705;598
ViktorundViktoria-23792.jpeg;Hermann_Thimig;M;348;954;669;633
ViktorundViktoria-32540.jpeg;Fritz_Odemar;M;168;970;297;841
ViktorundViktoria-34893.jpeg;Hermann_Thimig;M;52;706;320;438
ViktorundViktoria-35142.jpeg;Hermann_Thimig;M;266;538;489;315
ViktorundViktoria-35391.jpeg;Hermann_Thimig;M;142;498;409;230
ViktorundViktoria-36636.jpeg;Hermann_Thimig;M;192;712;415;489
ViktorundViktoria-38653.jpeg;Fritz_Odemar;M;184;975;339;820
ViktorundViktoria-43882.jpeg;Hermann_Thimig;M;316;687;539;464
ViktorundViktoria-45407.jpeg;Hermann_Thimig;M;236;631;391;476
ViktorundViktoria-45656.jpeg;Fritz_Odemar;M;180;778;366;593
ViktorundViktoria-47150.jpeg;Hermann_Thimig;M;182;640;311;511
ViktorundViktoria-4726.jpeg;Fritz_Odemar;M;116;666;270;511
ViktorundViktoria-47720.jpeg;Hermann_Thimig;M;118;637;341;414
ViktorundViktoria-49139.jpeg;Hermann_Thimig;M;171;795;439;527
ViktorundViktoria-4975.jpeg;Hermann_Thimig;M;297;861;759;399
ViktorundViktoria-49886.jpeg;Hermann_Thimig;M;260;527;528;260
ViktorundViktoria-50135.jpeg;Hermann_Thimig;M;304;572;490;386
ViktorundViktoria-55149.jpeg;Hilde_Hildebrand;F;201;861;387;675
ViktorundViktoria-55896.jpeg;Hermann_Thimig;M;247;803;632;418
ViktorundViktoria-56145.jpeg;Hermann_Thimig;M;184;562;339;408
ViktorundViktoria-56394.jpeg;Hermann_Thimig;M;98;634;284;448
ViktorundViktoria-57390.jpeg;Hermann_Thimig;M;118;613;304;428
ViktorundViktoria-5972.jpeg;Fritz_Odemar;M;219;528;374;373
ViktorundViktoria-59880.jpeg;Hilde_Hildebrand;F;201;861;387;675
ViktorundViktoria-6221.jpeg;Fritz_Odemar;M;139;799;325;613
