frame_name;actor_name;gender;top;right;bottom;left
WienerBlut-101800.jpeg;Theo_Lingen;M;53;583;182;454
WienerBlut-102350.jpeg;Theo_Lingen;M;53;597;182;468
WienerBlut-106500.jpeg;Willy_Fritsch;M;86;683;176;593
WienerBlut-107100.jpeg;Willy_Fritsch;M;96;683;186;593
WienerBlut-107950.jpeg;Willy_Fritsch;M;68;581;175;474
WienerBlut-108200.jpeg;Willy_Fritsch;M;39;569;168;440
WienerBlut-109600.jpeg;Willy_Fritsch;M;68;605;175;497
WienerBlut-109950.jpeg;Willy_Fritsch;M;82;569;211;440
WienerBlut-116000.jpeg;Willy_Fritsch;M;36;384;126;295
WienerBlut-120200.jpeg;Theo_Lingen;M;72;361;146;287
WienerBlut-12050.jpeg;Hans_Moser;M;104;581;211;474
WienerBlut-123000.jpeg;Hans_Moser;M;129;370;191;308
WienerBlut-123300.jpeg;Hans_Moser;M;142;328;205;266
WienerBlut-123550.jpeg;Hans_Moser;M;135;315;198;252
WienerBlut-123850.jpeg;Maria_Holst;F;66;722;129;660
WienerBlut-124150.jpeg;Hans_Moser;M;187;426;295;318
WienerBlut-124450.jpeg;Hans_Moser;M;175;450;283;342
WienerBlut-124700.jpeg;Hans_Moser;M;186;424;275;335
WienerBlut-128900.jpeg;Maria_Holst;F;80;784;187;677
WienerBlut-129150.jpeg;Maria_Holst;F;80;748;187;641
WienerBlut-129700.jpeg;Maria_Holst;F;92;736;199;629
WienerBlut-130800.jpeg;Willy_Fritsch;M;53;454;182;325
WienerBlut-131050.jpeg;Willy_Fritsch;M;68;497;175;390
WienerBlut-131950.jpeg;Willy_Fritsch;M;82;511;211;382
WienerBlut-132800.jpeg;Maria_Holst;F;104;641;211;533
WienerBlut-13450.jpeg;Maria_Holst;F;128;462;235;354
WienerBlut-134750.jpeg;Maria_Holst;F;80;629;187;521
WienerBlut-13500.jpeg;Maria_Holst;F;116;485;223;378
WienerBlut-13500.jpeg;Willy_Fritsch;M;110;698;239;569
WienerBlut-138950.jpeg;Maria_Holst;F;56;617;163;509
WienerBlut-141150.jpeg;Maria_Holst;F;98;655;284;469
WienerBlut-143950.jpeg;Fred_Liewehr;M;82;468;211;339
WienerBlut-144250.jpeg;Fred_Liewehr;M;82;454;211;325
WienerBlut-144800.jpeg;Maria_Holst;F;104;689;211;581
WienerBlut-145000.jpeg;Maria_Holst;F;116;748;223;641
WienerBlut-145600.jpeg;Maria_Holst;F;104;712;211;605
WienerBlut-146150.jpeg;Maria_Holst;F;167;631;322;476
WienerBlut-147850.jpeg;Maria_Holst;F;104;581;211;474
WienerBlut-151450.jpeg;Maria_Holst;F;92;653;199;545
WienerBlut-15200.jpeg;Maria_Holst;F;180;489;366;304
WienerBlut-152850.jpeg;Maria_Holst;F;152;712;259;605
WienerBlut-153100.jpeg;Maria_Holst;F;152;700;259;593
WienerBlut-15400.jpeg;Maria_Holst;F;180;510;366;324
WienerBlut-154800.jpeg;Willy_Fritsch;M;92;557;199;450
WienerBlut-155000.jpeg;Willy_Fritsch;M;82;597;211;468
WienerBlut-157850.jpeg;Willy_Fritsch;M;82;526;211;397
WienerBlut-160350.jpeg;Fred_Liewehr;M;81;562;236;408
WienerBlut-160600.jpeg;Maria_Holst;F;168;597;297;468
WienerBlut-160900.jpeg;Maria_Holst;F;153;597;282;468
WienerBlut-16150.jpeg;Maria_Holst;F;187;497;295;390
WienerBlut-16150.jpeg;Willy_Fritsch;M;140;700;247;593
WienerBlut-162300.jpeg;Maria_Holst;F;128;712;235;605
WienerBlut-162600.jpeg;Maria_Holst;F;163;712;271;605
WienerBlut-164550.jpeg;Fred_Liewehr;M;63;453;138;378
WienerBlut-165650.jpeg;Maria_Holst;F;125;569;254;440
WienerBlut-166200.jpeg;Maria_Holst;F;139;583;268;454
WienerBlut-16850.jpeg;Maria_Holst;F;175;497;283;390
WienerBlut-17100.jpeg;Maria_Holst;F;163;533;271;426
WienerBlut-176850.jpeg;Willy_Fritsch;M;96;554;186;464
WienerBlut-177100.jpeg;Willy_Fritsch;M;67;726;196;597
WienerBlut-177650.jpeg;Fred_Liewehr;M;87;487;149;425
WienerBlut-179050.jpeg;Maria_Holst;F;125;597;254;468
WienerBlut-180150.jpeg;Maria_Holst;F;146;643;236;554
WienerBlut-180700.jpeg;Fred_Liewehr;M;36;653;126;563
WienerBlut-181000.jpeg;Maria_Holst;F;139;440;268;311
WienerBlut-183500.jpeg;Maria_Holst;F;106;544;196;454
WienerBlut-184950.jpeg;Maria_Holst;F;104;712;211;605
WienerBlut-186300.jpeg;Fred_Liewehr;M;53;554;182;425
WienerBlut-186550.jpeg;Fred_Liewehr;M;53;626;182;497
WienerBlut-187450.jpeg;Maria_Holst;F;125;698;254;569
WienerBlut-188300.jpeg;Maria_Holst;F;152;497;259;390
WienerBlut-188550.jpeg;Maria_Holst;F;139;483;268;354
WienerBlut-188850.jpeg;Maria_Holst;F;96;612;225;483
WienerBlut-189100.jpeg;Maria_Holst;F;188;652;262;577
WienerBlut-189700.jpeg;Maria_Holst;F;139;554;268;425
WienerBlut-190200.jpeg;Maria_Holst;F;125;569;254;440
WienerBlut-191050.jpeg;Maria_Holst;F;116;597;270;442
WienerBlut-191350.jpeg;Willy_Fritsch;M;81;597;236;442
WienerBlut-191600.jpeg;Maria_Holst;F;110;583;239;454
WienerBlut-191900.jpeg;Maria_Holst;F;110;597;239;468
WienerBlut-192150.jpeg;Maria_Holst;F;116;593;223;485
WienerBlut-19250.jpeg;Maria_Holst;F;168;368;297;239
WienerBlut-192750.jpeg;Maria_Holst;F;150;580;305;425
WienerBlut-193900.jpeg;Maria_Holst;F;152;760;259;653
WienerBlut-194450.jpeg;Maria_Holst;F;146;653;236;563
WienerBlut-194700.jpeg;Willy_Fritsch;M;81;580;236;425
WienerBlut-195250.jpeg;Maria_Holst;F;49;677;101;625
WienerBlut-195500.jpeg;Maria_Holst;F;163;844;271;736
WienerBlut-196050.jpeg;Maria_Holst;F;315;683;405;593
WienerBlut-196350.jpeg;Willy_Fritsch;M;64;580;219;425
WienerBlut-196650.jpeg;Maria_Holst;F;166;252;209;208
WienerBlut-203300.jpeg;Willy_Fritsch;M;81;683;236;528
WienerBlut-203900.jpeg;Willy_Fritsch;M;81;683;236;528
WienerBlut-206350.jpeg;Hans_Moser;M;110;640;239;511
WienerBlut-207750.jpeg;Hans_Moser;M;128;569;235;462
WienerBlut-208350.jpeg;Theo_Lingen;M;104;557;211;450
WienerBlut-211950.jpeg;Hans_Moser;M;182;683;311;554
WienerBlut-216700.jpeg;Hans_Moser;M;104;641;211;533
WienerBlut-21700.jpeg;Maria_Holst;F;125;726;254;597
WienerBlut-217250.jpeg;Theo_Lingen;M;53;526;182;397
WienerBlut-217800.jpeg;Hans_Moser;M;128;641;235;533
WienerBlut-218100.jpeg;Theo_Lingen;M;96;454;225;325
WienerBlut-218650.jpeg;Hans_Moser;M;64;511;219;356
WienerBlut-218950.jpeg;Hans_Moser;M;139;612;268;483
WienerBlut-219200.jpeg;Hans_Moser;M;125;597;254;468
WienerBlut-220000.jpeg;Hans_Moser;M;110;741;239;612
WienerBlut-220900.jpeg;Hans_Moser;M;125;698;254;569
WienerBlut-228450.jpeg;Hans_Moser;M;73;501;135;439
WienerBlut-228700.jpeg;Hans_Moser;M;96;552;171;478
WienerBlut-229250.jpeg;Hans_Moser;M;56;563;146;474
WienerBlut-229550.jpeg;Hans_Moser;M;88;585;163;511
WienerBlut-229850.jpeg;Hans_Moser;M;96;534;186;444
WienerBlut-230050.jpeg;Hans_Moser;M;96;544;171;469
WienerBlut-237950.jpeg;Theo_Lingen;M;56;485;163;378
WienerBlut-238750.jpeg;Theo_Lingen;M;44;533;152;426
WienerBlut-239000.jpeg;Hans_Moser;M;68;629;175;521
WienerBlut-239600.jpeg;Theo_Lingen;M;68;485;175;378
WienerBlut-239900.jpeg;Theo_Lingen;M;68;521;175;414
WienerBlut-240400.jpeg;Theo_Lingen;M;80;521;187;414
WienerBlut-240400.jpeg;Hans_Moser;M;106;623;196;534
WienerBlut-24100.jpeg;Theo_Lingen;M;67;554;196;425
WienerBlut-246850.jpeg;Hans_Moser;M;82;526;211;397
WienerBlut-247650.jpeg;Theo_Lingen;M;63;560;138;486
WienerBlut-248250.jpeg;Maria_Holst;F;152;438;259;330
WienerBlut-248500.jpeg;Willy_Fritsch;M;104;641;211;533
WienerBlut-248800.jpeg;Maria_Holst;F;166;424;255;335
WienerBlut-249050.jpeg;Maria_Holst;F;116;438;223;330
WienerBlut-249650.jpeg;Maria_Holst;F;140;450;247;342
WienerBlut-249950.jpeg;Maria_Holst;F;128;450;235;342
WienerBlut-250100.jpeg;Maria_Holst;F;140;402;247;294
WienerBlut-250700.jpeg;Maria_Holst;F;128;438;235;330
WienerBlut-253800.jpeg;Maria_Holst;F;135;370;198;308
WienerBlut-254600.jpeg;Maria_Holst;F;110;612;239;483
WienerBlut-258500.jpeg;Willy_Fritsch;M;86;563;176;474
WienerBlut-258800.jpeg;Theo_Lingen;M;56;593;163;485
WienerBlut-266900.jpeg;Willy_Fritsch;M;46;613;136;524
WienerBlut-267150.jpeg;Maria_Holst;F;66;384;156;295
WienerBlut-268550.jpeg;Maria_Holst;F;96;454;186;364
WienerBlut-271050.jpeg;Maria_Holst;F;86;374;176;285
WienerBlut-273900.jpeg;Maria_Holst;F;125;454;254;325
WienerBlut-274150.jpeg;Maria_Holst;F;125;468;254;339
WienerBlut-274700.jpeg;Maria_Holst;F;116;581;223;474
WienerBlut-275800.jpeg;Fred_Liewehr;M;106;374;196;285
WienerBlut-276050.jpeg;Maria_Holst;F;130;660;204;585
WienerBlut-276650.jpeg;Maria_Holst;F;196;633;285;544
WienerBlut-276950.jpeg;Fred_Liewehr;M;82;511;211;382
WienerBlut-277800.jpeg;Fred_Liewehr;M;80;497;187;390
WienerBlut-278350.jpeg;Maria_Holst;F;140;665;247;557
WienerBlut-278900.jpeg;Maria_Holst;F;146;693;221;619
WienerBlut-279200.jpeg;Maria_Holst;F;146;713;236;623
WienerBlut-280850.jpeg;Maria_Holst;F;104;581;211;474
WienerBlut-282250.jpeg;Maria_Holst;F;96;683;186;593
WienerBlut-282500.jpeg;Maria_Holst;F;116;597;270;442
WienerBlut-282800.jpeg;Maria_Holst;F;160;613;345;428
WienerBlut-283050.jpeg;Maria_Holst;F;118;572;304;386
WienerBlut-283650.jpeg;Maria_Holst;F;152;569;259;462
WienerBlut-284200.jpeg;Maria_Holst;F;82;554;211;425
WienerBlut-287250.jpeg;Willy_Fritsch;M;98;666;253;511
WienerBlut-294500.jpeg;Willy_Fritsch;M;96;583;225;454
WienerBlut-295900.jpeg;Maria_Holst;F;80;652;155;577
