frame_name;actor_name;gender;top;right;bottom;left
thetestamentofdrmabuserestoredphd-101157.jpeg;Otto_Wernicke;M;63;478;138;403
thetestamentofdrmabuserestoredphd-101407.jpeg;Otto_Wernicke;M;63;469;138;395
thetestamentofdrmabuserestoredphd-101637.jpeg;Otto_Wernicke;M;80;509;187;402
thetestamentofdrmabuserestoredphd-102421.jpeg;Otto_Wernicke;M;87;315;149;252
thetestamentofdrmabuserestoredphd-103171.jpeg;Otto_Wernicke;M;101;308;163;246
thetestamentofdrmabuserestoredphd-104657.jpeg;Otto_Wernicke;M;116;444;206;354
thetestamentofdrmabuserestoredphd-105821.jpeg;Otto_Wernicke;M;96;464;186;374
thetestamentofdrmabuserestoredphd-106071.jpeg;Otto_Wernicke;M;80;462;187;354
thetestamentofdrmabuserestoredphd-116772.jpeg;Paul_Henckels;M;86;409;122;373
thetestamentofdrmabuserestoredphd-117272.jpeg;Paul_Henckels;M;66;433;102;397
thetestamentofdrmabuserestoredphd-117522.jpeg;Paul_Henckels;M;70;429;106;393
thetestamentofdrmabuserestoredphd-118022.jpeg;Paul_Henckels;M;89;448;132;405
thetestamentofdrmabuserestoredphd-155886.jpeg;Otto_Wernicke;M;108;304;151;261
thetestamentofdrmabuserestoredphd-159618.jpeg;Otto_Wernicke;M;55;494;130;419
thetestamentofdrmabuserestoredphd-168973.jpeg;Otto_Wernicke;M;96;560;171;486
thetestamentofdrmabuserestoredphd-170412.jpeg;Otto_Wernicke;M;176;533;228;481
thetestamentofdrmabuserestoredphd-170662.jpeg;Otto_Wernicke;M;170;533;222;481
thetestamentofdrmabuserestoredphd-171162.jpeg;Otto_Wernicke;M;113;475;164;423
thetestamentofdrmabuserestoredphd-172684.jpeg;Otto_Wernicke;M;179;386;254;312
thetestamentofdrmabuserestoredphd-17401.jpeg;Otto_Wernicke;M;96;494;186;404
thetestamentofdrmabuserestoredphd-176253.jpeg;Theodor_Loos;M;63;411;138;337
thetestamentofdrmabuserestoredphd-17628.jpeg;Otto_Wernicke;M;116;580;270;425
thetestamentofdrmabuserestoredphd-181027.jpeg;Otto_Wernicke;M;115;398;177;335
thetestamentofdrmabuserestoredphd-188514.jpeg;Otto_Wernicke;M;80;619;155;544
thetestamentofdrmabuserestoredphd-29201.jpeg;Paul_Henckels;M;96;386;171;312
thetestamentofdrmabuserestoredphd-67204.jpeg;Theo_Lingen;M;66;494;156;404
thetestamentofdrmabuserestoredphd-79183.jpeg;Otto_Wernicke;M;80;557;142;494
thetestamentofdrmabuserestoredphd-79683.jpeg;Otto_Wernicke;M;73;563;135;501
thetestamentofdrmabuserestoredphd-81535.jpeg;Otto_Wernicke;M;73;370;135;308
thetestamentofdrmabuserestoredphd-95438.jpeg;Otto_Wernicke;M;275;444;365;354
thetestamentofdrmabuserestoredphd-99016.jpeg;Otto_Wernicke;M;96;414;186;325
