frame_name;actor_name;gender;top;right;bottom;left
AmericanFiction-122813.jpeg;Jeffrey_Wright;M;56;390;163;282
AmericanFiction-122939.jpeg;Jeffrey_Wright;M;56;366;163;259
AmericanFiction-126443.jpeg;Jeffrey_Wright;M;36;374;126;285
AmericanFiction-133182.jpeg;Sterling_K_Brown;M;56;464;146;374
AmericanFiction-133432.jpeg;Sterling_K_Brown;M;66;454;156;364
AmericanFiction-133868.jpeg;Sterling_K_Brown;M;66;454;156;364
AmericanFiction-139861.jpeg;Jeffrey_Wright;M;46;225;108;163
AmericanFiction-140102.jpeg;Jeffrey_Wright;M;47;245;121;171
AmericanFiction-140242.jpeg;Jeffrey_Wright;M;47;229;121;154
AmericanFiction-14195.jpeg;Jeffrey_Wright;M;46;255;136;165
AmericanFiction-141999.jpeg;Jeffrey_Wright;M;81;408;236;253
AmericanFiction-142728.jpeg;Jeffrey_Wright;M;47;254;121;179
AmericanFiction-142872.jpeg;Jeffrey_Wright;M;47;220;121;146
AmericanFiction-143171.jpeg;Jeffrey_Wright;M;47;220;121;146
AmericanFiction-149280.jpeg;Jeffrey_Wright;M;46;405;108;342
AmericanFiction-149657.jpeg;Jeffrey_Wright;M;80;363;142;301
AmericanFiction-27927.jpeg;Jeffrey_Wright;M;46;275;136;185
AmericanFiction-28056.jpeg;Jeffrey_Wright;M;82;296;211;167
AmericanFiction-48443.jpeg;Jeffrey_Wright;M;46;235;136;145
AmericanFiction-74664.jpeg;Jeffrey_Wright;M;68;474;175;366
AmericanFiction-82470.jpeg;Jeffrey_Wright;M;24;554;153;425
AmericanFiction-87477.jpeg;Jeffrey_Wright;M;86;265;176;175
AmericanFiction-87666.jpeg;Jeffrey_Wright;M;56;554;146;464
