frame_name;actor_name;gender;top;right;bottom;left
BlackSwan-10487.jpeg;Natalie_Portman;F;67;440;196;311
BlackSwan-109987.jpeg;Natalie_Portman;F;81;408;236;253
BlackSwan-110677.jpeg;Natalie_Portman;F;0;442;150;287
BlackSwan-110790.jpeg;Natalie_Portman;F;17;352;60;309
BlackSwan-111512.jpeg;Vincent_Cassel;M;36;386;222;201
BlackSwan-111849.jpeg;Vincent_Cassel;M;36;324;222;139
BlackSwan-15686.jpeg;Vincent_Cassel;M;56;573;146;484
BlackSwan-15868.jpeg;Mila_Kunis;F;53;440;182;311
BlackSwan-25522.jpeg;Natalie_Portman;F;47;425;202;270
BlackSwan-41732.jpeg;Natalie_Portman;F;30;408;184;253
BlackSwan-60480.jpeg;Vincent_Cassel;M;57;345;242;159
BlackSwan-60806.jpeg;Vincent_Cassel;M;19;340;242;117
BlackSwan-61065.jpeg;Natalie_Portman;F;64;408;219;253
BlackSwan-61162.jpeg;Natalie_Portman;F;47;373;202;218
BlackSwan-6707.jpeg;Barbara_Hershey;F;24;368;153;239
BlackSwan-81640.jpeg;Barbara_Hershey;F;47;408;202;253
BlackSwan-90574.jpeg;Natalie_Portman;F;15;345;201;159
BlackSwan-91402.jpeg;Natalie_Portman;F;15;489;201;304
BlackSwan-92205.jpeg;Natalie_Portman;F;19;489;242;266
BlackSwan-92338.jpeg;Natalie_Portman;F;43;439;266;216
BlackSwan-9341.jpeg;Natalie_Portman;F;186;145;266;56
