frame_name;actor_name;gender;top;right;bottom;left
KnivesOut-102953.jpeg;Daniel_Craig;M;68;270;175;163
KnivesOut-14690.jpeg;Lakeith_Stanfield;M;101;280;163;218
KnivesOut-158386.jpeg;Lakeith_Stanfield;M;53;296;182;167
KnivesOut-16000.jpeg;Lakeith_Stanfield;M;82;325;211;196
KnivesOut-164756.jpeg;Daniel_Craig;M;43;489;266;266
KnivesOut-169564.jpeg;Lakeith_Stanfield;M;86;364;176;275
KnivesOut-18206.jpeg;Lakeith_Stanfield;M;96;339;225;210
KnivesOut-21200.jpeg;Daniel_Craig;M;56;305;146;215
KnivesOut-21702.jpeg;Daniel_Craig;M;66;325;156;235
KnivesOut-30261.jpeg;Daniel_Craig;M;68;414;291;191
KnivesOut-31796.jpeg;Daniel_Craig;M;98;386;284;201
KnivesOut-37166.jpeg;Daniel_Craig;M;23;468;290;200
KnivesOut-46307.jpeg;Lakeith_Stanfield;M;96;382;225;253
KnivesOut-65281.jpeg;Daniel_Craig;M;46;364;136;275
KnivesOut-65601.jpeg;Daniel_Craig;M;53;397;182;268
KnivesOut-66371.jpeg;Daniel_Craig;M;57;448;242;262
KnivesOut-66580.jpeg;Daniel_Craig;M;81;442;236;287
KnivesOut-6807.jpeg;Ana_de_Armas;F;68;489;291;266
KnivesOut-88773.jpeg;Daniel_Craig;M;64;373;219;218
KnivesOut-9089.jpeg;Lakeith_Stanfield;M;96;339;225;210
KnivesOut-94537.jpeg;Daniel_Craig;M;44;462;152;354
