frame_name;actor_name;gender;top;right;bottom;left
TheShadowsEdge-102929.jpeg;Zhang_Zifeng;F;72;386;146;312
TheShadowsEdge-103452.jpeg;Zhang_Zifeng;F;63;411;138;337
TheShadowsEdge-104222.jpeg;Zhang_Zifeng;F;67;397;196;268
TheShadowsEdge-104565.jpeg;Zhang_Zifeng;F;67;397;196;268
TheShadowsEdge-104933.jpeg;Zhang_Zifeng;F;55;395;130;320
TheShadowsEdge-105643.jpeg;Zhang_Zifeng;F;53;377;115;315
TheShadowsEdge-166957.jpeg;Zhang_Zifeng;F;92;402;199;294
TheShadowsEdge-167093.jpeg;Zhang_Zifeng;F;106;305;196;215
TheShadowsEdge-175742.jpeg;Zhang_Zifeng;F;68;378;175;270
TheShadowsEdge-188411.jpeg;Zhang_Zifeng;F;96;378;171;303
TheShadowsEdge-189733.jpeg;Zhang_Zifeng;F;72;378;146;303
TheShadowsEdge-189878.jpeg;Zhang_Zifeng;F;68;402;175;294
TheShadowsEdge-202836.jpeg;Ci_Sha;M;96;382;225;253
TheShadowsEdge-28457.jpeg;Zhang_Zifeng;F;61;400;113;348
TheShadowsEdge-33702.jpeg;Zhang_Zifeng;F;67;440;196;311
TheShadowsEdge-33914.jpeg;Zhang_Zifeng;F;82;425;211;296
TheShadowsEdge-34694.jpeg;Zhang_Zifeng;F;82;411;211;282
TheShadowsEdge-35555.jpeg;Zhang_Zifeng;F;96;411;225;282
TheShadowsEdge-37954.jpeg;Jackie_Chan;M;49;291;101;239
TheShadowsEdge-50771.jpeg;Jackie_Chan;M;63;370;138;295
TheShadowsEdge-51722.jpeg;Zhang_Zifeng;F;82;368;211;239
TheShadowsEdge-58073.jpeg;Jackie_Chan;M;92;366;199;259
TheShadowsEdge-59141.jpeg;Zhang_Zifeng;F;81;476;236;322
TheShadowsEdge-62369.jpeg;Zhang_Zifeng;F;108;405;151;362
TheShadowsEdge-63204.jpeg;Zhang_Zifeng;F;46;374;136;285
TheShadowsEdge-64695.jpeg;Zhang_Zifeng;F;82;382;211;253
TheShadowsEdge-69317.jpeg;Zhang_Zifeng;F;61;366;113;314
TheShadowsEdge-70320.jpeg;Zhang_Zifeng;F;76;364;166;275
TheShadowsEdge-72403.jpeg;Jackie_Chan;M;39;411;168;282
TheShadowsEdge-73104.jpeg;Jackie_Chan;M;80;438;187;330
TheShadowsEdge-73837.jpeg;Zhang_Zifeng;F;67;354;196;225
TheShadowsEdge-77295.jpeg;Zhang_Zifeng;F;66;285;156;195
TheShadowsEdge-77630.jpeg;Zhang_Zifeng;F;56;434;146;344
TheShadowsEdge-78743.jpeg;Zhang_Zifeng;F;63;295;138;220
TheShadowsEdge-88395.jpeg;Zhang_Zifeng;F;146;204;221;129
