frame_name;actor_name;gender;top;right;bottom;left
TheSocialNetwork-103514.jpeg;Andrew_Garfield;M;92;724;199;617
TheSocialNetwork-103642.jpeg;Andrew_Garfield;M;92;724;199;617
TheSocialNetwork-108756.jpeg;Jesse_Eisenberg;M;55;536;130;461
TheSocialNetwork-144253.jpeg;Jesse_Eisenberg;M;80;593;187;485
TheSocialNetwork-149880.jpeg;Jesse_Eisenberg;M;92;438;199;330
TheSocialNetwork-150455.jpeg;Jesse_Eisenberg;M;92;474;199;366
TheSocialNetwork-152426.jpeg;Jesse_Eisenberg;M;81;390;236;236
TheSocialNetwork-152943.jpeg;Jesse_Eisenberg;M;67;368;196;239
TheSocialNetwork-153357.jpeg;Jesse_Eisenberg;M;67;382;196;253
TheSocialNetwork-163995.jpeg;Jesse_Eisenberg;M;77;510;263;324
TheSocialNetwork-28942.jpeg;Jesse_Eisenberg;M;64;562;219;408
TheSocialNetwork-93860.jpeg;Jesse_Eisenberg;M;146;668;221;594
TheSocialNetwork-96238.jpeg;Jesse_Eisenberg;M;56;211;163;103
TheSocialNetwork-96356.jpeg;Jesse_Eisenberg;M;76;195;166;106
