frame_name;actor;gender;p1;p2;p3;p4
50_50 (2011)-102240.jpeg;Anjelica_Huston;F;139;483;268;354
50_50 (2011)-102521.jpeg;Anjelica_Huston;F;92;533;199;426
50_50 (2011)-104578.jpeg;Anjelica_Huston;F;96;514;186;424
50_50 (2011)-104828.jpeg;Anjelica_Huston;F;126;534;216;444
50_50 (2011)-105328.jpeg;Anjelica_Huston;F;136;554;226;464
50_50 (2011)-105578.jpeg;Anjelica_Huston;F;128;569;235;462
50_50 (2011)-128692.jpeg;Anjelica_Huston;F;116;442;270;287
50_50 (2011)-129939.jpeg;Anjelica_Huston;F;81;339;236;184
50_50 (2011)-130721.jpeg;Anjelica_Huston;F;139;268;268;139
50_50 (2011)-13477.jpeg;Joseph_Gordon_Levitt;M;118;324;304;139
50_50 (2011)-136479.jpeg;Anna_Kendrick;F;116;322;270;167
50_50 (2011)-137262.jpeg;Anna_Kendrick;F;19;315;242;92
50_50 (2011)-137339.jpeg;Joseph_Gordon_Levitt;M;43;513;266;291
50_50 (2011)-17352.jpeg;Joseph_Gordon_Levitt;M;98;476;253;322
50_50 (2011)-18453.jpeg;Joseph_Gordon_Levitt;M;81;408;236;253
50_50 (2011)-19195.jpeg;Joseph_Gordon_Levitt;M;77;510;263;324
50_50 (2011)-21109.jpeg;Anjelica_Huston;F;68;199;175;91
50_50 (2011)-21675.jpeg;Anjelica_Huston;F;76;424;166;335
50_50 (2011)-22147.jpeg;Anjelica_Huston;F;82;468;211;339
50_50 (2011)-22393.jpeg;Anjelica_Huston;F;116;494;270;339
50_50 (2011)-22778.jpeg;Anjelica_Huston;F;125;497;254;368
50_50 (2011)-22896.jpeg;Joseph_Gordon_Levitt;M;81;322;236;167
50_50 (2011)-23162.jpeg;Anjelica_Huston;F;76;464;166;374
50_50 (2011)-23236.jpeg;Anjelica_Huston;F;56;462;163;354
50_50 (2011)-23398.jpeg;Anjelica_Huston;F;96;434;186;344
50_50 (2011)-23605.jpeg;Anjelica_Huston;F;96;511;225;382
50_50 (2011)-23810.jpeg;Anjelica_Huston;F;68;474;175;366
50_50 (2011)-27711.jpeg;Anna_Kendrick;F;66;305;156;215
50_50 (2011)-29592.jpeg;Anna_Kendrick;F;139;296;268;167
50_50 (2011)-29870.jpeg;Anna_Kendrick;F;80;223;187;115
50_50 (2011)-31054.jpeg;Joseph_Gordon_Levitt;M;80;426;187;318
50_50 (2011)-31281.jpeg;Joseph_Gordon_Levitt;M;92;462;199;354
50_50 (2011)-33476.jpeg;Joseph_Gordon_Levitt;M;76;384;166;295
50_50 (2011)-45577.jpeg;Joseph_Gordon_Levitt;M;116;442;270;287
50_50 (2011)-47121.jpeg;Joseph_Gordon_Levitt;M;77;489;263;304
50_50 (2011)-51524.jpeg;Joseph_Gordon_Levitt;M;86;484;176;394
50_50 (2011)-52064.jpeg;Joseph_Gordon_Levitt;M;98;425;253;270
50_50 (2011)-68775.jpeg;Joseph_Gordon_Levitt;M;86;205;176;116
