frame_name;position;guessed_gender;;;
50_50 (2011)-100006.jpeg;[294.9748    51.080223 472.97858  279.21338 ];M;;;
50_50 (2011)-100069.jpeg;[234.86343   58.138653 323.33804  178.43011 ];F;Maenner;29031;67%
50_50 (2011)-100148.jpeg;[366.25323   50.167336 564.21014  296.8982  ];M;Frauen;14461;33%
50_50 (2011)-100390.jpeg;[280.2103   52.03743 480.27356 296.87292];M;Gesamt;43492;100%
50_50 (2011)-100480.jpeg;[230.10957  53.7573  322.4563  174.80695];F;;;
50_50 (2011)-10064.jpeg;[386.2882   105.584045 443.3559   179.23886 ];M;;;
50_50 (2011)-10064.jpeg;[176.55896   91.563614 234.92642  168.70038 ];M;;;
50_50 (2011)-10064.jpeg;[175.6088  189.35162 254.26205 273.8003 ];M;;;
50_50 (2011)-100813.jpeg;[190.24817   50.782333 397.43646  295.85992 ];M;;;
50_50 (2011)-101063.jpeg;[186.14458  46.91864 401.30447 288.44135];M;;;
50_50 (2011)-101227.jpeg;[153.7702    76.343155 230.58794  194.9152  ];M;;;
50_50 (2011)-101477.jpeg;[248.75594  88.79888 350.59302 189.51784];F;;;
50_50 (2011)-101615.jpeg;[245.639   -99.44931 457.86246 276.33905];M;;;
50_50 (2011)-101741.jpeg;[323.53058  -55.440475 561.50964  326.1454  ];F;;;
50_50 (2011)-101891.jpeg;[310.44446 140.52036 360.12665 204.4701 ];M;;;
50_50 (2011)-101891.jpeg;[477.1718  144.22289 523.4107  208.07124];F;;;
50_50 (2011)-101891.jpeg;[ 89.50217 111.94573 148.61063 187.40082];M;;;
50_50 (2011)-102001.jpeg;[402.65997   40.480267 479.2732   145.81732 ];F;;;
50_50 (2011)-102158.jpeg;[411.2827   41.74277 487.71124 145.48575];F;;;
50_50 (2011)-102240.jpeg;[379.38464 130.39194 487.19144 275.31555];F;;;
50_50 (2011)-102240.jpeg;[ 54.49879  74.84046 150.93405 198.78925];M;;;
50_50 (2011)-102309.jpeg;[420.10852  38.3829  496.02954 143.5893 ];F;;;
50_50 (2011)-102411.jpeg;[425.9399   35.58413 501.9176  140.70938];F;;;
50_50 (2011)-102521.jpeg;[423.28732  72.28007 521.929   202.4321 ];F;;;
50_50 (2011)-102521.jpeg;[ 89.501465  63.528442 200.81932  207.87671 ];M;;;
50_50 (2011)-102563.jpeg;[ 90.24645 108.03862 145.71585 182.19092];M;;;
50_50 (2011)-102563.jpeg;[290.3459  152.97946 345.64246 220.16072];M;;;
50_50 (2011)-102563.jpeg;[453.00317 155.13457 500.81097 219.4266 ];F;;;
50_50 (2011)-102563.jpeg;[188.35167   44.791664 229.00565   92.46657 ];M;;;
50_50 (2011)-102973.jpeg;[126.281265  63.441956 222.15929  192.68208 ];M;;;
50_50 (2011)-102973.jpeg;[511.15683  91.77285 601.6391  208.25485];M;;;
50_50 (2011)-103223.jpeg;[177.90952   54.830006 272.68292  174.82048 ];M;;;
50_50 (2011)-103291.jpeg;[363.86575 118.54262 419.34827 217.4599 ];M;;;
50_50 (2011)-103369.jpeg;[259.97272  106.130035 339.7732   226.66882 ];F;;;
50_50 (2011)-103452.jpeg;[150.57162   57.482735 245.70343  180.04718 ];M;;;
50_50 (2011)-103498.jpeg;[347.47388 101.11681 441.92758 228.34747];F;;;
50_50 (2011)-103560.jpeg;[170.27351 136.76277 233.60326 218.51804];M;;;
50_50 (2011)-103560.jpeg;[445.82428  48.13195 488.30673 100.38879];F;;;
50_50 (2011)-103672.jpeg;[246.5252   65.37221 337.80054 189.92935];F;;;
50_50 (2011)-103773.jpeg;[461.22186   63.734924 566.82837  203.42795 ];M;;;
50_50 (2011)-103838.jpeg;[175.66751  61.30387 243.59097 157.5181 ];F;;;
50_50 (2011)-103983.jpeg;[436.4873   83.10225 535.8413  209.08087];M;;;
50_50 (2011)-104328.jpeg;[126.13541  79.89818 196.06487 170.1731 ];M;;;
50_50 (2011)-104328.jpeg;[411.73584   82.647285 483.9204   175.45523 ];F;;;
50_50 (2011)-104578.jpeg;[131.711     93.974915 204.96802  186.90446 ];M;;;
50_50 (2011)-104578.jpeg;[420.15347  82.10785 497.11716 185.16069];F;;;
50_50 (2011)-104828.jpeg;[447.0964   106.173386 534.2558   216.27332 ];F;;;
50_50 (2011)-104828.jpeg;[141.6443   93.89902 219.2704  193.8054 ];M;;;
50_50 (2011)-10500.jpeg;[203.05952   78.957344 235.04456  119.66477 ];M;;;
50_50 (2011)-105328.jpeg;[461.14694 111.29052 566.5417  226.10902];F;;;
