frame_name;guessed_gender;gender;actor_name;position;top;right;bottom;left
AltesHerzwirdwiederJung-122240.jpeg;M;M;Emil_Jannings;[102.8131    25.363342 160.96577  103.89143 ];30.0;162.0;105.0;88.0
AltesHerzwirdwiederJung-122752.jpeg;M;M;Emil_Jannings;[ 75.5569  112.97679 121.16007 174.72539];118.0;124.0;170.0;72.0
AltesHerzwirdwiederJung-122752.jpeg;F;M;Emil_Jannings;[228.19159   39.077316 258.36523   90.232   ];118.0;124.0;170.0;72.0
AltesHerzwirdwiederJung-124416.jpeg;F;F;Maria_Landrock;[171.77016   20.146208 214.29045   74.8919  ];26.0;213.0;70.0;170.0
AltesHerzwirdwiederJung-129664.jpeg;M;M;Emil_Jannings;[151.00618  14.02124 205.68263  93.16504];25.0;211.0;87.0;149.0
AltesHerzwirdwiederJung-129792.jpeg;M;M;Emil_Jannings;[149.39565   22.450073 203.6719   101.83785 ];44.0;199.0;95.0;147.0
AltesHerzwirdwiederJung-130688.jpeg;M;M;Emil_Jannings;[134.20905   26.401321 189.13927  104.717834];44.0;187.0;95.0;135.0
AltesHerzwirdwiederJung-130944.jpeg;M;M;Emil_Jannings;[165.9829    25.192814 217.84915   98.40876 ];32.0;218.0;94.0;156.0
AltesHerzwirdwiederJung-131712.jpeg;M;M;Emil_Jannings;[155.12282   23.799255 211.90533  105.07521 ];32.0;218.0;94.0;156.0
AltesHerzwirdwiederJung-133888.jpeg;F;F;Maria_Landrock;[124.30841   23.563648 155.5346    67.91022 ];30.0;161.0;66.0;125.0
AltesHerzwirdwiederJung-133888.jpeg;M;F;Maria_Landrock;[245.76012 122.73511 281.28177 192.18262];30.0;161.0;66.0;125.0
AltesHerzwirdwiederJung-138240.jpeg;M;M;Emil_Jannings;[108.162766  41.463913 174.87712  131.3122  ];59.0;176.0;122.0;114.0
AltesHerzwirdwiederJung-138368.jpeg;M;M;Emil_Jannings;[107.55373   29.478508 172.9609   125.100296];47.0;179.0;121.0;104.0
AltesHerzwirdwiederJung-138496.jpeg;M;M;Emil_Jannings;[112.62591  43.42475 178.09645 133.83432];55.0;187.0;130.0;113.0
AltesHerzwirdwiederJung-143744.jpeg;M;M;Emil_Jannings;[112.32861   47.396877 164.4843   120.856705];59.0;170.0;122.0;107.0
AltesHerzwirdwiederJung-147968.jpeg;M;M;Emil_Jannings;[19.929554 48.09594  50.884933 90.71836 ];46.0;184.0;89.0;141.0
AltesHerzwirdwiederJung-147968.jpeg;M;M;Emil_Jannings;[150.2851    37.567543 188.28563   93.91202 ];46.0;184.0;89.0;141.0
AltesHerzwirdwiederJung-147968.jpeg;M;M;Emil_Jannings;[253.67744   50.661377 283.1903   105.10635 ];46.0;184.0;89.0;141.0
AltesHerzwirdwiederJung-149760.jpeg;F;M;Emil_Jannings;[170.47952  37.76788 204.26434  86.79063];32.0;118.0;84.0;66.0
AltesHerzwirdwiederJung-149760.jpeg;M;M;Emil_Jannings;[ 65.43291   17.540482 113.74653   85.154465];32.0;118.0;84.0;66.0
AltesHerzwirdwiederJung-149760.jpeg;F;M;Emil_Jannings;[230.58318  41.7369  264.9227   98.48152];32.0;118.0;84.0;66.0
AltesHerzwirdwiederJung-149760.jpeg;M;M;Emil_Jannings;[261.81705  56.30938 293.63177 110.82239];32.0;118.0;84.0;66.0
AltesHerzwirdwiederJung-149888.jpeg;F;F;Elisabeth_Flickenschild;[177.65588   35.88015  210.60529   84.351776];41.0;213.0;84.0;170.0
AltesHerzwirdwiederJung-149888.jpeg;M;F;Elisabeth_Flickenschild;[ 81.4525    21.040127 121.475685  83.25696 ];41.0;213.0;84.0;170.0
AltesHerzwirdwiederJung-149888.jpeg;F;F;Elisabeth_Flickenschild;[242.62573   40.906372 282.81934  103.31897 ];41.0;213.0;84.0;170.0
AltesHerzwirdwiederJung-149888.jpeg;M;F;Elisabeth_Flickenschild;[217.25099  57.46627 245.73541  97.9708 ];41.0;213.0;84.0;170.0
AltesHerzwirdwiederJung-150272.jpeg;F;F;Elisabeth_Flickenschild;[178.72142   37.511642 212.07518   87.04947 ];41.0;213.0;84.0;170.0
AltesHerzwirdwiederJung-150272.jpeg;M;F;Elisabeth_Flickenschild;[ 91.82153  20.13712 134.76515  85.04138];41.0;213.0;84.0;170.0
AltesHerzwirdwiederJung-150272.jpeg;F;F;Elisabeth_Flickenschild;[ 18.222555  35.594692  51.120132 106.705536];41.0;213.0;84.0;170.0
AltesHerzwirdwiederJung-150272.jpeg;M;F;Elisabeth_Flickenschild;[267.9354    45.646683 296.80637   99.716515];41.0;213.0;84.0;170.0
AltesHerzwirdwiederJung-150272.jpeg;F;F;Elisabeth_Flickenschild;[240.98764   38.379883 275.61893   91.78816 ];41.0;213.0;84.0;170.0
AltesHerzwirdwiederJung-154112.jpeg;M;M;Emil_Jannings;[150.09909   30.082958 209.46704  117.56412 ];38.0;212.0;113.0;137.0
AltesHerzwirdwiederJung-154368.jpeg;M;M;Emil_Jannings;[156.23245  34.83842 215.40042 120.35297];53.0;225.0;115.0;163.0
AltesHerzwirdwiederJung-155136.jpeg;M;M;Emil_Jannings;[162.10046   26.934181 214.3635   110.2516  ];39.0;232.0;101.0;170.0
AltesHerzwirdwiederJung-18048.jpeg;M;M;Emil_Jannings;[118.594666  69.10106  160.03012  126.8428  ];79.0;165.0;122.0;122.0
