frame_name;position;guessed_gender;actor;gender;top;right;bottom;left
50_50 (2011)-102240.jpeg;[379.38464 130.39194 487.19144 275.31555];F;Anjelica_Huston;F;1390;4830;2680;3540
50_50 (2011)-102240.jpeg;[ 54.49879  74.84046 150.93405 198.78925];M;Anjelica_Huston;F;1390;4830;2680;3540
50_50 (2011)-102521.jpeg;[423.28732  72.28007 521.929   202.4321 ];F;Anjelica_Huston;F;920;5330;1990;4260
50_50 (2011)-102521.jpeg;[ 89.501465  63.528442 200.81932  207.87671 ];M;Anjelica_Huston;F;920;5330;1990;4260
50_50 (2011)-104578.jpeg;[131.711     93.974915 204.96802  186.90446 ];M;Anjelica_Huston;F;960;5140;1860;4240
50_50 (2011)-104578.jpeg;[420.15347  82.10785 497.11716 185.16069];F;Anjelica_Huston;F;960;5140;1860;4240
50_50 (2011)-104828.jpeg;[447.0964   106.173386 534.2558   216.27332 ];F;Anjelica_Huston;F;1260;5340;2160;4440
50_50 (2011)-104828.jpeg;[141.6443   93.89902 219.2704  193.8054 ];M;Anjelica_Huston;F;1260;5340;2160;4440
50_50 (2011)-105328.jpeg;[461.14694 111.29052 566.5417  226.10902];F;Anjelica_Huston;F;1360;5540;2260;4640
50_50 (2011)-105328.jpeg;[120.502884  80.37161  204.65321  190.91336 ];M;Anjelica_Huston;F;1360;5540;2260;4640
50_50 (2011)-105578.jpeg;[100.31764  79.50224 188.53427 199.92163];M;Anjelica_Huston;F;1280;5690;2350;4620
50_50 (2011)-105578.jpeg;[469.1325  110.77663 573.975   233.98792];F;Anjelica_Huston;F;1280;5690;2350;4620
50_50 (2011)-128692.jpeg;[295.33307  77.97973 436.90076 276.06384];F;Anjelica_Huston;F;1160;4420;2700;2870
50_50 (2011)-128692.jpeg;[110.930016  51.02738  224.14177  206.09088 ];M;Anjelica_Huston;F;1160;4420;2700;2870
50_50 (2011)-129939.jpeg;[182.67668  61.91062 321.0328  252.89612];F;Anjelica_Huston;F;810;3390;2360;1840
50_50 (2011)-129939.jpeg;[487.65045  68.57903 593.39185 291.83884];M;Anjelica_Huston;F;810;3390;2360;1840
50_50 (2011)-130721.jpeg;[436.63647   22.045105 520.4701   142.1569  ];M;Anjelica_Huston;F;1390;2680;2680;1390
50_50 (2011)-130721.jpeg;[153.75677 115.53265 267.05243 260.48468];F;Anjelica_Huston;F;1390;2680;2680;1390
50_50 (2011)-13477.jpeg;[152.19373  83.92518 314.14227 308.15988];M;Joseph_Gordon_Levitt;M;1180;3240;3040;1390
50_50 (2011)-136479.jpeg;[164.78624  65.4619  310.51633 273.58472];F;Anna_Kendrick;F;1160;3220;2700;1670
50_50 (2011)-137262.jpeg;[ 96.54005  -34.708893 292.23233  240.17021 ];F;Anna_Kendrick;F;190;3150;2420;920
